county,candidate,votes,district,party,office
Adams,David Keith Cobb ,0,,Non-Partisan,President
Allen,David Keith Cobb ,1,,Non-Partisan,President
Ashland,David Keith Cobb ,1,,Non-Partisan,President
Ashtabula,David Keith Cobb ,2,,Non-Partisan,President
Athens,David Keith Cobb ,3,,Non-Partisan,President
Auglaize,David Keith Cobb ,0,,Non-Partisan,President
Belmont,David Keith Cobb ,0,,Non-Partisan,President
Brown,David Keith Cobb ,0,,Non-Partisan,President
Butler,David Keith Cobb ,6,,Non-Partisan,President
Carroll,David Keith Cobb ,1,,Non-Partisan,President
Champaign,David Keith Cobb ,0,,Non-Partisan,President
Clark,David Keith Cobb ,0,,Non-Partisan,President
Clermont,David Keith Cobb ,4,,Non-Partisan,President
Clinton,David Keith Cobb ,1,,Non-Partisan,President
Columbiana,David Keith Cobb ,2,,Non-Partisan,President
Coshocton,David Keith Cobb ,1,,Non-Partisan,President
Crawford,David Keith Cobb ,0,,Non-Partisan,President
Cuyahoga,David Keith Cobb ,13,,Non-Partisan,President
Darke,David Keith Cobb ,0,,Non-Partisan,President
Defiance,David Keith Cobb ,0,,Non-Partisan,President
Delaware,David Keith Cobb ,1,,Non-Partisan,President
Erie,David Keith Cobb ,0,,Non-Partisan,President
Fairfield,David Keith Cobb ,0,,Non-Partisan,President
Fayette,David Keith Cobb ,0,,Non-Partisan,President
Franklin,David Keith Cobb ,20,,Non-Partisan,President
Fulton,David Keith Cobb ,1,,Non-Partisan,President
Gallia,David Keith Cobb ,0,,Non-Partisan,President
Geauga,David Keith Cobb ,2,,Non-Partisan,President
Greene,David Keith Cobb ,3,,Non-Partisan,President
Guernsey,David Keith Cobb ,1,,Non-Partisan,President
Hamilton,David Keith Cobb ,66,,Non-Partisan,President
Hancock,David Keith Cobb ,2,,Non-Partisan,President
Hardin,David Keith Cobb ,0,,Non-Partisan,President
Harrison,David Keith Cobb ,0,,Non-Partisan,President
Henry,David Keith Cobb ,0,,Non-Partisan,President
Highland,David Keith Cobb ,0,,Non-Partisan,President
Hocking,David Keith Cobb ,0,,Non-Partisan,President
Holmes,David Keith Cobb ,1,,Non-Partisan,President
Huron,David Keith Cobb ,0,,Non-Partisan,President
Jackson,David Keith Cobb ,0,,Non-Partisan,President
Jefferson,David Keith Cobb ,0,,Non-Partisan,President
Knox,David Keith Cobb ,2,,Non-Partisan,President
Lake,David Keith Cobb ,8,,Non-Partisan,President
Lawrence,David Keith Cobb ,0,,Non-Partisan,President
Licking,David Keith Cobb ,1,,Non-Partisan,President
Logan,David Keith Cobb ,0,,Non-Partisan,President
Lorain,David Keith Cobb ,3,,Non-Partisan,President
Lucas,David Keith Cobb ,15,,Non-Partisan,President
Madison,David Keith Cobb ,0,,Non-Partisan,President
Mahoning,David Keith Cobb ,2,,Non-Partisan,President
Marion,David Keith Cobb ,0,,Non-Partisan,President
Medina,David Keith Cobb ,0,,Non-Partisan,President
Meigs,David Keith Cobb ,0,,Non-Partisan,President
Mercer,David Keith Cobb ,0,,Non-Partisan,President
Miami,David Keith Cobb ,2,,Non-Partisan,President
Monroe,David Keith Cobb ,0,,Non-Partisan,President
Montgomery,David Keith Cobb ,8,,Non-Partisan,President
Morgan,David Keith Cobb ,0,,Non-Partisan,President
Morrow,David Keith Cobb ,0,,Non-Partisan,President
Muskingum,David Keith Cobb ,1,,Non-Partisan,President
Noble,David Keith Cobb ,0,,Non-Partisan,President
Ottawa,David Keith Cobb ,2,,Non-Partisan,President
Paulding,David Keith Cobb ,0,,Non-Partisan,President
Perry,David Keith Cobb ,0,,Non-Partisan,President
Pickaway,David Keith Cobb ,0,,Non-Partisan,President
Pike,David Keith Cobb ,0,,Non-Partisan,President
Portage,David Keith Cobb ,4,,Non-Partisan,President
Preble,David Keith Cobb ,0,,Non-Partisan,President
Putnam,David Keith Cobb ,0,,Non-Partisan,President
Richland,David Keith Cobb ,0,,Non-Partisan,President
Ross,David Keith Cobb ,0,,Non-Partisan,President
Sandusky,David Keith Cobb ,0,,Non-Partisan,President
Scioto,David Keith Cobb ,0,,Non-Partisan,President
Seneca,David Keith Cobb ,0,,Non-Partisan,President
Shelby,David Keith Cobb ,0,,Non-Partisan,President
Stark,David Keith Cobb ,0,,Non-Partisan,President
Summit,David Keith Cobb ,4,,Non-Partisan,President
Trumbull,David Keith Cobb ,2,,Non-Partisan,President
Tuscarawas,David Keith Cobb ,0,,Non-Partisan,President
Union,David Keith Cobb ,0,,Non-Partisan,President
Van Wert,David Keith Cobb ,0,,Non-Partisan,President
Vinton,David Keith Cobb ,0,,Non-Partisan,President
Warren,David Keith Cobb ,3,,Non-Partisan,President
Washington,David Keith Cobb ,0,,Non-Partisan,President
Wayne,David Keith Cobb ,1,,Non-Partisan,President
Williams,David Keith Cobb ,1,,Non-Partisan,President
Wood,David Keith Cobb ,1,,Non-Partisan,President
Wyandot,David Keith Cobb ,0,,Non-Partisan,President
Adams,Richard A. Duncan ,0,,Non-Partisan,President
Allen,Richard A. Duncan ,0,,Non-Partisan,President
Ashland,Richard A. Duncan ,0,,Non-Partisan,President
Ashtabula,Richard A. Duncan ,0,,Non-Partisan,President
Athens,Richard A. Duncan ,0,,Non-Partisan,President
Auglaize,Richard A. Duncan ,0,,Non-Partisan,President
Belmont,Richard A. Duncan ,0,,Non-Partisan,President
Brown,Richard A. Duncan ,0,,Non-Partisan,President
Butler,Richard A. Duncan ,0,,Non-Partisan,President
Carroll,Richard A. Duncan ,0,,Non-Partisan,President
Champaign,Richard A. Duncan ,0,,Non-Partisan,President
Clark,Richard A. Duncan ,0,,Non-Partisan,President
Clermont,Richard A. Duncan ,0,,Non-Partisan,President
Clinton,Richard A. Duncan ,0,,Non-Partisan,President
Columbiana,Richard A. Duncan ,1,,Non-Partisan,President
Coshocton,Richard A. Duncan ,0,,Non-Partisan,President
Crawford,Richard A. Duncan ,0,,Non-Partisan,President
Cuyahoga,Richard A. Duncan ,0,,Non-Partisan,President
Darke,Richard A. Duncan ,0,,Non-Partisan,President
Defiance,Richard A. Duncan ,0,,Non-Partisan,President
Delaware,Richard A. Duncan ,0,,Non-Partisan,President
Erie,Richard A. Duncan ,0,,Non-Partisan,President
Fairfield,Richard A. Duncan ,0,,Non-Partisan,President
Fayette,Richard A. Duncan ,0,,Non-Partisan,President
Franklin,Richard A. Duncan ,0,,Non-Partisan,President
Fulton,Richard A. Duncan ,0,,Non-Partisan,President
Gallia,Richard A. Duncan ,0,,Non-Partisan,President
Geauga,Richard A. Duncan ,5,,Non-Partisan,President
Greene,Richard A. Duncan ,0,,Non-Partisan,President
Guernsey,Richard A. Duncan ,0,,Non-Partisan,President
Hamilton,Richard A. Duncan ,4,,Non-Partisan,President
Hancock,Richard A. Duncan ,0,,Non-Partisan,President
Hardin,Richard A. Duncan ,0,,Non-Partisan,President
Harrison,Richard A. Duncan ,0,,Non-Partisan,President
Henry,Richard A. Duncan ,0,,Non-Partisan,President
Highland,Richard A. Duncan ,0,,Non-Partisan,President
Hocking,Richard A. Duncan ,0,,Non-Partisan,President
Holmes,Richard A. Duncan ,0,,Non-Partisan,President
Huron,Richard A. Duncan ,0,,Non-Partisan,President
Jackson,Richard A. Duncan ,0,,Non-Partisan,President
Jefferson,Richard A. Duncan ,1,,Non-Partisan,President
Knox,Richard A. Duncan ,0,,Non-Partisan,President
Lake,Richard A. Duncan ,0,,Non-Partisan,President
Lawrence,Richard A. Duncan ,0,,Non-Partisan,President
Licking,Richard A. Duncan ,0,,Non-Partisan,President
Logan,Richard A. Duncan ,0,,Non-Partisan,President
Lorain,Richard A. Duncan ,0,,Non-Partisan,President
Lucas,Richard A. Duncan ,0,,Non-Partisan,President
Madison,Richard A. Duncan ,0,,Non-Partisan,President
Mahoning,Richard A. Duncan ,0,,Non-Partisan,President
Marion,Richard A. Duncan ,0,,Non-Partisan,President
Medina,Richard A. Duncan ,0,,Non-Partisan,President
Meigs,Richard A. Duncan ,0,,Non-Partisan,President
Mercer,Richard A. Duncan ,0,,Non-Partisan,President
Miami,Richard A. Duncan ,0,,Non-Partisan,President
Monroe,Richard A. Duncan ,0,,Non-Partisan,President
Montgomery,Richard A. Duncan ,0,,Non-Partisan,President
Morgan,Richard A. Duncan ,0,,Non-Partisan,President
Morrow,Richard A. Duncan ,0,,Non-Partisan,President
Muskingum,Richard A. Duncan ,0,,Non-Partisan,President
Noble,Richard A. Duncan ,0,,Non-Partisan,President
Ottawa,Richard A. Duncan ,0,,Non-Partisan,President
Paulding,Richard A. Duncan ,0,,Non-Partisan,President
Perry,Richard A. Duncan ,0,,Non-Partisan,President
Pickaway,Richard A. Duncan ,0,,Non-Partisan,President
Pike,Richard A. Duncan ,0,,Non-Partisan,President
Portage,Richard A. Duncan ,4,,Non-Partisan,President
Preble,Richard A. Duncan ,0,,Non-Partisan,President
Putnam,Richard A. Duncan ,0,,Non-Partisan,President
Richland,Richard A. Duncan ,0,,Non-Partisan,President
Ross,Richard A. Duncan ,0,,Non-Partisan,President
Sandusky,Richard A. Duncan ,0,,Non-Partisan,President
Scioto,Richard A. Duncan ,0,,Non-Partisan,President
Seneca,Richard A. Duncan ,0,,Non-Partisan,President
Shelby,Richard A. Duncan ,0,,Non-Partisan,President
Stark,Richard A. Duncan ,0,,Non-Partisan,President
Summit,Richard A. Duncan ,1,,Non-Partisan,President
Trumbull,Richard A. Duncan ,1,,Non-Partisan,President
Tuscarawas,Richard A. Duncan ,0,,Non-Partisan,President
Union,Richard A. Duncan ,0,,Non-Partisan,President
Van Wert,Richard A. Duncan ,0,,Non-Partisan,President
Vinton,Richard A. Duncan ,0,,Non-Partisan,President
Warren,Richard A. Duncan ,0,,Non-Partisan,President
Washington,Richard A. Duncan ,0,,Non-Partisan,President
Wayne,Richard A. Duncan ,0,,Non-Partisan,President
Williams,Richard A. Duncan ,0,,Non-Partisan,President
Wood,Richard A. Duncan ,0,,Non-Partisan,President
Wyandot,Richard A. Duncan ,0,,Non-Partisan,President
Adams,James Harris ,0,,Non-Partisan,President
Allen,James Harris ,0,,Non-Partisan,President
Ashland,James Harris ,0,,Non-Partisan,President
Ashtabula,James Harris ,0,,Non-Partisan,President
Athens,James Harris ,0,,Non-Partisan,President
Auglaize,James Harris ,0,,Non-Partisan,President
Belmont,James Harris ,0,,Non-Partisan,President
Brown,James Harris ,0,,Non-Partisan,President
Butler,James Harris ,0,,Non-Partisan,President
Carroll,James Harris ,0,,Non-Partisan,President
Champaign,James Harris ,0,,Non-Partisan,President
Clark,James Harris ,0,,Non-Partisan,President
Clermont,James Harris ,0,,Non-Partisan,President
Clinton,James Harris ,0,,Non-Partisan,President
Columbiana,James Harris ,1,,Non-Partisan,President
Coshocton,James Harris ,0,,Non-Partisan,President
Crawford,James Harris ,0,,Non-Partisan,President
Cuyahoga,James Harris ,9,,Non-Partisan,President
Darke,James Harris ,0,,Non-Partisan,President
Defiance,James Harris ,0,,Non-Partisan,President
Delaware,James Harris ,0,,Non-Partisan,President
Erie,James Harris ,0,,Non-Partisan,President
Fairfield,James Harris ,0,,Non-Partisan,President
Fayette,James Harris ,0,,Non-Partisan,President
Franklin,James Harris ,1,,Non-Partisan,President
Fulton,James Harris ,0,,Non-Partisan,President
Gallia,James Harris ,0,,Non-Partisan,President
Geauga,James Harris ,0,,Non-Partisan,President
Greene,James Harris ,0,,Non-Partisan,President
Guernsey,James Harris ,0,,Non-Partisan,President
Hamilton,James Harris ,10,,Non-Partisan,President
Hancock,James Harris ,0,,Non-Partisan,President
Hardin,James Harris ,0,,Non-Partisan,President
Harrison,James Harris ,0,,Non-Partisan,President
Henry,James Harris ,0,,Non-Partisan,President
Highland,James Harris ,0,,Non-Partisan,President
Hocking,James Harris ,0,,Non-Partisan,President
Holmes,James Harris ,0,,Non-Partisan,President
Huron,James Harris ,0,,Non-Partisan,President
Jackson,James Harris ,0,,Non-Partisan,President
Jefferson,James Harris ,0,,Non-Partisan,President
Knox,James Harris ,0,,Non-Partisan,President
Lake,James Harris ,0,,Non-Partisan,President
Lawrence,James Harris ,0,,Non-Partisan,President
Licking,James Harris ,0,,Non-Partisan,President
Logan,James Harris ,0,,Non-Partisan,President
Lorain,James Harris ,0,,Non-Partisan,President
Lucas,James Harris ,0,,Non-Partisan,President
Madison,James Harris ,0,,Non-Partisan,President
Mahoning,James Harris ,0,,Non-Partisan,President
Marion,James Harris ,0,,Non-Partisan,President
Medina,James Harris ,0,,Non-Partisan,President
Meigs,James Harris ,0,,Non-Partisan,President
Mercer,James Harris ,0,,Non-Partisan,President
Miami,James Harris ,0,,Non-Partisan,President
Monroe,James Harris ,0,,Non-Partisan,President
Montgomery,James Harris ,0,,Non-Partisan,President
Morgan,James Harris ,0,,Non-Partisan,President
Morrow,James Harris ,0,,Non-Partisan,President
Muskingum,James Harris ,0,,Non-Partisan,President
Noble,James Harris ,0,,Non-Partisan,President
Ottawa,James Harris ,0,,Non-Partisan,President
Paulding,James Harris ,0,,Non-Partisan,President
Perry,James Harris ,0,,Non-Partisan,President
Pickaway,James Harris ,0,,Non-Partisan,President
Pike,James Harris ,0,,Non-Partisan,President
Portage,James Harris ,0,,Non-Partisan,President
Preble,James Harris ,0,,Non-Partisan,President
Putnam,James Harris ,0,,Non-Partisan,President
Richland,James Harris ,0,,Non-Partisan,President
Ross,James Harris ,0,,Non-Partisan,President
Sandusky,James Harris ,0,,Non-Partisan,President
Scioto,James Harris ,0,,Non-Partisan,President
Seneca,James Harris ,0,,Non-Partisan,President
Shelby,James Harris ,0,,Non-Partisan,President
Stark,James Harris ,0,,Non-Partisan,President
Summit,James Harris ,1,,Non-Partisan,President
Trumbull,James Harris ,0,,Non-Partisan,President
Tuscarawas,James Harris ,0,,Non-Partisan,President
Union,James Harris ,0,,Non-Partisan,President
Van Wert,James Harris ,0,,Non-Partisan,President
Vinton,James Harris ,0,,Non-Partisan,President
Warren,James Harris ,0,,Non-Partisan,President
Washington,James Harris ,0,,Non-Partisan,President
Wayne,James Harris ,0,,Non-Partisan,President
Williams,James Harris ,0,,Non-Partisan,President
Wood,James Harris ,0,,Non-Partisan,President
Wyandot,James Harris ,0,,Non-Partisan,President
Adams,John F. Kerry,4281,,Democratic,President
Allen,John F. Kerry,16470,,Democratic,President
Ashland,John F. Kerry,8576,,Democratic,President
Ashtabula,John F. Kerry,24060,,Democratic,President
Athens,John F. Kerry,18998,,Democratic,President
Auglaize,John F. Kerry,5903,,Democratic,President
Belmont,John F. Kerry,17576,,Democratic,President
Brown,John F. Kerry,7140,,Democratic,President
Butler,John F. Kerry,56243,,Democratic,President
Carroll,John F. Kerry,6300,,Democratic,President
Champaign,John F. Kerry,6968,,Democratic,President
Clark,John F. Kerry,33535,,Democratic,President
Clermont,John F. Kerry,25887,,Democratic,President
Clinton,John F. Kerry,5417,,Democratic,President
Columbiana,John F. Kerry,23429,,Democratic,President
Coshocton,John F. Kerry,7378,,Democratic,President
Crawford,John F. Kerry,7773,,Democratic,President
Cuyahoga,John F. Kerry,448503,,Democratic,President
Darke,John F. Kerry,7846,,Democratic,President
Defiance,John F. Kerry,6975,,Democratic,President
Delaware,John F. Kerry,27048,,Democratic,President
Erie,John F. Kerry,21421,,Democratic,President
Fairfield,John F. Kerry,24783,,Democratic,President
Fayette,John F. Kerry,4334,,Democratic,President
Franklin,John F. Kerry,285801,,Democratic,President
Fulton,John F. Kerry,8224,,Democratic,President
Gallia,John F. Kerry,5366,,Democratic,President
Geauga,John F. Kerry,19850,,Democratic,President
Greene,John F. Kerry,30531,,Democratic,President
Guernsey,John F. Kerry,7768,,Democratic,President
Hamilton,John F. Kerry,199679,,Democratic,President
Hancock,John F. Kerry,10352,,Democratic,President
Hardin,John F. Kerry,4891,,Democratic,President
Harrison,John F. Kerry,3780,,Democratic,President
Henry,John F. Kerry,5111,,Democratic,President
Highland,John F. Kerry,6194,,Democratic,President
Hocking,John F. Kerry,6175,,Democratic,President
Holmes,John F. Kerry,2697,,Democratic,President
Huron,John F. Kerry,10568,,Democratic,President
Jackson,John F. Kerry,5700,,Democratic,President
Jefferson,John F. Kerry,19024,,Democratic,President
Knox,John F. Kerry,9820,,Democratic,President
Lake,John F. Kerry,59049,,Democratic,President
Lawrence,John F. Kerry,12120,,Democratic,President
Licking,John F. Kerry,30053,,Democratic,President
Logan,John F. Kerry,6825,,Democratic,President
Lorain,John F. Kerry,78970,,Democratic,President
Lucas,John F. Kerry,132715,,Democratic,President
Madison,John F. Kerry,6203,,Democratic,President
Mahoning,John F. Kerry,83194,,Democratic,President
Marion,John F. Kerry,11930,,Democratic,President
Medina,John F. Kerry,36272,,Democratic,President
Meigs,John F. Kerry,4438,,Democratic,President
Mercer,John F. Kerry,5118,,Democratic,President
Miami,John F. Kerry,17606,,Democratic,President
Monroe,John F. Kerry,4243,,Democratic,President
Montgomery,John F. Kerry,142997,,Democratic,President
Morgan,John F. Kerry,2875,,Democratic,President
Morrow,John F. Kerry,5775,,Democratic,President
Muskingum,John F. Kerry,16421,,Democratic,President
Noble,John F. Kerry,2654,,Democratic,President
Ottawa,John F. Kerry,11118,,Democratic,President
Paulding,John F. Kerry,3610,,Democratic,President
Perry,John F. Kerry,7257,,Democratic,President
Pickaway,John F. Kerry,8579,,Democratic,President
Pike,John F. Kerry,5989,,Democratic,President
Portage,John F. Kerry,40675,,Democratic,President
Preble,John F. Kerry,7274,,Democratic,President
Putnam,John F. Kerry,4392,,Democratic,President
Richland,John F. Kerry,24638,,Democratic,President
Ross,John F. Kerry,13978,,Democratic,President
Sandusky,John F. Kerry,12686,,Democratic,President
Scioto,John F. Kerry,16827,,Democratic,President
Seneca,John F. Kerry,10957,,Democratic,President
Shelby,John F. Kerry,6535,,Democratic,President
Stark,John F. Kerry,95337,,Democratic,President
Summit,John F. Kerry,156587,,Democratic,President
Trumbull,John F. Kerry,66673,,Democratic,President
Tuscarawas,John F. Kerry,18853,,Democratic,President
Union,John F. Kerry,6665,,Democratic,President
Van Wert,John F. Kerry,4095,,Democratic,President
Vinton,John F. Kerry,2651,,Democratic,President
Warren,John F. Kerry,26044,,Democratic,President
Washington,John F. Kerry,12538,,Democratic,President
Wayne,John F. Kerry,19786,,Democratic,President
Williams,John F. Kerry,6481,,Democratic,President
Wood,John F. Kerry,29401,,Democratic,President
Wyandot,John F. Kerry,3708,,Democratic,President
Adams,John T. Parker ,0,,Non-Partisan,President
Allen,John T. Parker ,0,,Non-Partisan,President
Ashland,John T. Parker ,0,,Non-Partisan,President
Ashtabula,John T. Parker ,0,,Non-Partisan,President
Athens,John T. Parker ,0,,Non-Partisan,President
Auglaize,John T. Parker ,0,,Non-Partisan,President
Belmont,John T. Parker ,0,,Non-Partisan,President
Brown,John T. Parker ,0,,Non-Partisan,President
Butler,John T. Parker ,0,,Non-Partisan,President
Carroll,John T. Parker ,0,,Non-Partisan,President
Champaign,John T. Parker ,0,,Non-Partisan,President
Clark,John T. Parker ,0,,Non-Partisan,President
Clermont,John T. Parker ,0,,Non-Partisan,President
Clinton,John T. Parker ,0,,Non-Partisan,President
Columbiana,John T. Parker ,0,,Non-Partisan,President
Coshocton,John T. Parker ,0,,Non-Partisan,President
Crawford,John T. Parker ,0,,Non-Partisan,President
Cuyahoga,John T. Parker ,2,,Non-Partisan,President
