county,office,district,party,candidate,votes,region,media_market
Lorain,State House,55,,Dale Stein,56,Northeast,Cleveland
Lorain,State House,55,D,Zach Stepp,26682,Northeast,Cleveland
Lorain,State House,56,R,Bradley A. Lacko,22157,Northeast,Cleveland
Lorain,State House,56,D,Joe Miller,32298,Northeast,Cleveland
Lorain,State House,57,D,Dara Adkison,13656,Northeast,Cleveland
Lorain,State House,57,R,Dick Stein,23122,Northeast,Cleveland
Lucas,U.S. House,5,R,Bob Latta,60942,Northwest,Toledo
Lucas,U.S. House,5,D,Nick Rubando,49604,Northwest,Toledo
Lucas,U.S. House,9,D,Marcy Kaptur,63350,Northwest,Toledo
Lucas,U.S. House,9,,McKenzie Levindofske,3,Northwest,Toledo
Lucas,U.S. House,9,R,Rob Weber,23565,Northwest,Toledo
Lucas,State Senate,2,R,Theresa Gavarone,32460,Northwest,Toledo
Lucas,State Senate,2,D,Joel O'Dorisio,21811,Northwest,Toledo
Lucas,State House,44,D,Paula Hicks-Hudson,32101,Northwest,Toledo
Lucas,State House,44,R,Robert McMahon,8511,Northwest,Toledo
Lucas,State House,45,R,Shane Logan,17282,Northwest,Toledo
Lucas,State House,45,D,Lisa A. Sobecki,27776,Northwest,Toledo
Lucas,State House,46,R,Steven R. Salander,22870,Northwest,Toledo
Lucas,State House,46,D,Michael P. Sheehy,31088,Northwest,Toledo
Lucas,State House,47,D,Nancy Larson,24642,Northwest,Toledo
Lucas,State House,47,R,Derek Merrin,29693,Northwest,Toledo
Madison,U.S. House,15,,Shane Hoffman,12,Central,Columbus
Madison,U.S. House,15,D,Joel Newby,4537,Central,Columbus
Madison,U.S. House,15,R,Steve Stivers,14811,Central,Columbus
Madison,State Senate,10,D,Charles Ballard,4744,Central,Columbus
Madison,State Senate,10,R,Robert D. Hackett,14334,Central,Columbus
Madison,State House,74,R,Bill Dean,15151,Central,Columbus
Madison,State House,74,,Michael Johnson,38,Central,Columbus
Madison,State House,74,,Ted McClenen,417,Central,Columbus
Mahoning,U.S. House,6,R,Bill Johnson,21061,Northeast,Youngstown
Mahoning,U.S. House,6,D,Shawna Roberts,8873,Northeast,Youngstown
Mahoning,U.S. House,13,I,Michael Fricke,2017,Northeast,Youngstown
Mahoning,U.S. House,13,R,Christina M. Hagan,36475,Northeast,Youngstown
Mahoning,U.S. House,13,D,Tim Ryan,48663,Northeast,Youngstown
Mahoning,State House,58,D,Michele Lepore Hagan,32218,Northeast,Youngstown
Mahoning,State House,58,R,David T. Simon,15556,Northeast,Youngstown
Mahoning,State House,59,R,Al Cutrona,40993,Northeast,Youngstown
Mahoning,State House,59,D,Chris Stanley,26423,Northeast,Youngstown
Marion,U.S. House,4,D,Shannon M. Freshour,6822,Central,Columbus
Marion,U.S. House,4,R,Jim Jordan,15118,Central,Columbus
Marion,U.S. House,4,I,Steve Perkins,712,Central,Columbus
Marion,U.S. House,12,R,Troy Balderson,3555,Central,Columbus
Marion,U.S. House,12,D,Alaina Shearer,1080,Central,Columbus
Marion,U.S. House,12,I,John S. Stewart,140,Central,Columbus
Marion,State Senate,26,R,Bill Reineke,18454,Central,Columbus
Marion,State Senate,26,D,Craig Swartz,8464,Central,Columbus
Marion,State Senate,26,,Robert Taylor,29,Central,Columbus
Marion,State House,86,R,Tracy Richardson,16285,Central,Columbus
Marion,State House,86,D,Tiffanie Roberts,7225,Central,Columbus
Marion,State House,87,D,Nicholas Barnes,808,Central,Columbus
Marion,State House,87,R,Riordan T. McClain,2761,Central,Columbus
Medina,U.S. House,7,R,Bob Gibbs,23956,Northeast,Cleveland
Medina,U.S. House,7,I,Brandon Lape,1127,Northeast,Cleveland
Medina,U.S. House,7,D,Quentin Potter,10847,Northeast,Cleveland
Medina,U.S. House,16,D,Aaron Paul Godfrey,23036,Northeast,Cleveland
Medina,U.S. House,16,R,Anthony Gonzalez,43311,Northeast,Cleveland
Medina,State Senate,22,D,Ryan Hunger,36015,Northeast,Cleveland
Medina,State Senate,22,R,Mark Romanchuk,64900,Northeast,Cleveland
Medina,State House,69,D,Donna Beheydt,25074,Northeast,Cleveland
Medina,State House,69,R,Sharon A. Ray,46103,Northeast,Cleveland
Medina,State House,70,D,Kevin Barnet,10911,Northeast,Cleveland
Medina,State House,70,R,Darrell D. Kick,18823,Northeast,Cleveland
Meigs,U.S. House,6,R,Bill Johnson,8274,Southeast,Charleston
Meigs,U.S. House,6,D,Shawna Roberts,2415,Southeast,Charleston
Meigs,State Senate,30,D,Michael Fletcher,2601,Southeast,Charleston
Meigs,State Senate,30,R,Frank Hoagland,7874,Southeast,Charleston
Meigs,State House,94,R,Jay Edwards,8544,Southeast,Charleston
Meigs,State House,94,D,Katie O'Neill,2278,Southeast,Charleston
Mercer,U.S. House,4,D,Shannon M. Freshour,355,West,Dayton
Mercer,U.S. House,4,R,Jim Jordan,1588,West,Dayton
Mercer,U.S. House,4,I,Steve Perkins,42,West,Dayton
Mercer,U.S. House,5,R,Bob Latta,8821,West,Dayton
Mercer,U.S. House,5,D,Nick Rubando,2126,West,Dayton
Mercer,U.S. House,8,R,Warren Davidson,9303,West,Dayton
Mercer,U.S. House,8,D,Vanessa Enoch,1128,West,Dayton
Mercer,U.S. House,8,,Isaac Reed,1,West,Dayton
Mercer,State Senate,12,R,Matt Huffman,19631,West,Dayton
Mercer,State Senate,12,D,Ken Poling,3664,West,Dayton
Mercer,State House,84,R,Susan Manchester,19772,West,Dayton
Mercer,State House,84,D,Joseph A. Monbeck,3583,West,Dayton
Miami,U.S. House,8,R,Warren Davidson,42298,West,Dayton
Miami,U.S. House,8,D,Vanessa Enoch,13918,West,Dayton
Miami,U.S. House,8,,Isaac Reed,11,West,Dayton
Miami,State House,80,D,Ted Jones,14395,West,Dayton
Miami,State House,80,R,Jena Powell,42166,West,Dayton
Monroe,U.S. House,6,R,Bill Johnson,5317,Southeast,Wheeling
Monroe,U.S. House,6,D,Shawna Roberts,1688,Southeast,Wheeling
Monroe,State Senate,30,D,Michael Fletcher,1921,Southeast,Wheeling
Monroe,State Senate,30,R,Frank Hoagland,4972,Southeast,Wheeling
Monroe,State House,96,R,Ron Ferguson,5059,Southeast,Wheeling
Monroe,State House,96,I,Oscar Herrera,173,Southeast,Wheeling
Monroe,State House,96,D,Richard A. Olivito,1719,Southeast,Wheeling
Montgomery,U.S. House,10,D,Desiree Tims,119775,West,Dayton
Montgomery,U.S. House,10,R,Mike Turner,147064,West,Dayton
Montgomery,State Senate,6,R,Niraj Antani,99096,West,Dayton
Montgomery,State Senate,6,D,Mark Fogel,87280,West,Dayton
Montgomery,State House,39,D,Willis E. Blackshear Jr,31583,West,Dayton
Montgomery,State House,39,R,John Ferrell Mullins III,8269,West,Dayton
Montgomery,State House,40,D,Leronda Jackson,20543,West,Dayton
Montgomery,State House,40,R,Phil Plummer,38318,West,Dayton
Montgomery,State House,41,D,Cate Berger,28314,West,Dayton
Montgomery,State House,41,R,Andrea White,37172,West,Dayton
Montgomery,State House,42,R,Tom Young,48394,West,Dayton
Montgomery,State House,43,D,Amy Cox,21542,West,Dayton
Montgomery,State House,43,R,Rodney Creech,14879,West,Dayton
Morgan,U.S. House,15,,Shane Hoffman,1,Central,Columbus
Morgan,U.S. House,15,D,Joel Newby,1381,Central,Columbus
Morgan,U.S. House,15,R,Steve Stivers,5146,Central,Columbus
Morgan,State Senate,20,D,Christian N. Johnson,1590,Central,Columbus
Morgan,State Senate,20,R,Tim Schaffer,4891,Central,Columbus
Morgan,State House,78,D,Charlotte Owens,1613,Central,Columbus
Morgan,State House,78,R,Brian S. Stewart,4799,Central,Columbus
Morrow,U.S. House,12,R,Troy Balderson,13768,Central,Columbus
Morrow,U.S. House,12,D,Alaina Shearer,3757,Central,Columbus
Morrow,U.S. House,12,I,John S. Stewart,560,Central,Columbus
Morrow,State Senate,26,R,Bill Reineke,13745,Central,Columbus
Morrow,State Senate,26,D,Craig Swartz,3949,Central,Columbus
Morrow,State Senate,26,,Robert Taylor,52,Central,Columbus
Morrow,State House,87,D,Nicholas Barnes,4082,Central,Columbus
Morrow,State House,87,R,Riordan T. McClain,13580,Central,Columbus
Muskingum,U.S. House,6,R,Bill Johnson,10634,Central,Zanesville
Muskingum,U.S. House,6,D,Shawna Roberts,3123,Central,Zanesville
Muskingum,U.S. House,12,R,Troy Balderson,18486,Central,Zanesville
Muskingum,U.S. House,12,D,Alaina Shearer,7094,Central,Zanesville
Muskingum,U.S. House,12,I,John S. Stewart,683,Central,Zanesville
Muskingum,State Senate,20,D,Christian N. Johnson,11223,Central,Zanesville
Muskingum,State Senate,20,R,Tim Schaffer,27802,Central,Zanesville
Muskingum,State House,78,D,Charlotte Owens,860,Central,Zanesville
Muskingum,State House,78,R,Brian S. Stewart,2529,Central,Zanesville
Muskingum,State House,97,R,Adam Holmes,24455,Central,Zanesville
Muskingum,State House,97,D,Alaina Swope,11359,Central,Zanesville
Noble,U.S. House,6,R,Bill Johnson,5002,Southeast,Wheeling
Noble,U.S. House,6,D,Shawna Roberts,1136,Southeast,Wheeling
Noble,State Senate,30,D,Michael Fletcher,1274,Southeast,Wheeling
Noble,State Senate,30,R,Frank Hoagland,4658,Southeast,Wheeling
Noble,State House,95,R,Don Jones,4929,Southeast,Wheeling
Ottawa,U.S. House,5,R,Bob Latta,7546,Northwest,Toledo
Ottawa,U.S. House,5,D,Nick Rubando,3363,Northwest,Toledo
Ottawa,U.S. House,9,D,Marcy Kaptur,5669,Northwest,Toledo
Ottawa,U.S. House,9,,McKenzie Levindofske,2,Northwest,Toledo
Ottawa,U.S. House,9,R,Rob Weber,7169,Northwest,Toledo
Ottawa,State Senate,2,R,Theresa Gavarone,15499,Northwest,Toledo
Ottawa,State Senate,2,D,Joel O'Dorisio,7851,Northwest,Toledo
Ottawa,State House,89,D,Alexis Miller,9060,Northwest,Toledo
Ottawa,State House,89,R,D.J. Swearingen,14199,Northwest,Toledo
Paulding,U.S. House,5,R,Bob Latta,7154,West,Ft. Wayne
Paulding,U.S. House,5,D,Nick Rubando,2035,West,Ft. Wayne
Paulding,State House,82,R,Craig S. Riedel,7522,West,Ft. Wayne
Paulding,State House,82,,Elecia Wobler,431,West,Ft. Wayne
Perry,U.S. House,15,,Shane Hoffman,5,Central,Columbus
Perry,U.S. House,15,D,Joel Newby,3479,Central,Columbus
Perry,U.S. House,15,R,Steve Stivers,12683,Central,Columbus
Perry,State House,72,,Kaitlyn Clark,53,Central,Columbus
Perry,State House,72,,Jay A. Conrad,1533,Central,Columbus
Perry,State House,72,R,Larry Householder,8085,Central,Columbus
Perry,State House,72,,Robert Leist,190,Central,Columbus
Perry,State House,72,,Marci McCaulay,1864,Central,Columbus
Pickaway,U.S. House,15,,Shane Hoffman,4,Central,Columbus
Pickaway,U.S. House,15,D,Joel Newby,6035,Central,Columbus
Pickaway,U.S. House,15,R,Steve Stivers,21701,Central,Columbus
Pickaway,State Senate,20,D,Christian N. Johnson,4259,Central,Columbus
Pickaway,State Senate,20,R,Tim Schaffer,12440,Central,Columbus
Pickaway,State House,78,D,Charlotte Owens,4442,Central,Columbus
Pickaway,State House,78,R,Brian S. Stewart,12288,Central,Columbus
Pickaway,State House,92,R,Mark Johnson,7687,Central,Columbus
Pickaway,State House,92,D,Beth Workman,2935,Central,Columbus
Pike,U.S. House,2,D,Jaime M. Castle,3232,Central,Columbus
Pike,U.S. House,2,,James J. Condit Jr,0,Central,Columbus
Pike,U.S. House,2,R,Brad Wenstrup,8534,Central,Columbus
Pike,State House,91,D,Scott M. Dailey,3620,Central,Columbus
Pike,State House,91,R,Shane Wilkin,8132,Central,Columbus
Portage,U.S. House,13,I,Michael Fricke,1189,Northeast,Cleveland
Portage,U.S. House,13,R,Christina M. Hagan,19324,Northeast,Cleveland
Portage,U.S. House,13,D,Tim Ryan,20424,Northeast,Cleveland
Portage,U.S. House,14,R,David P. Joyce,13521,Northeast,Cleveland
Portage,U.S. House,14,D,Hillary O'Connor Mueri,7254,Northeast,Cleveland
Portage,U.S. House,16,D,Aaron Paul Godfrey,6054,Northeast,Cleveland
Portage,U.S. House,16,R,Anthony Gonzalez,12010,Northeast,Cleveland
Portage,State Senate,18,R,Jerry Cirino,44399,Northeast,Cleveland
Portage,State Senate,18,D,Betsy Rader,34277,Northeast,Cleveland
Portage,State House,75,D,Randi Clites,27151,Northeast,Cleveland
Portage,State House,75,R,Gail Pavliga,28330,Northeast,Cleveland
Portage,State House,76,R,Diane V. Grendell,15124,Northeast,Cleveland
Portage,State House,76,D,Garrett Westhoven,8316,Northeast,Cleveland
Preble,U.S. House,8,R,Warren Davidson,16913,West,Dayton
Preble,U.S. House,8,D,Vanessa Enoch,4194,West,Dayton
Preble,U.S. House,8,,Isaac Reed,1,West,Dayton
Preble,State House,43,D,Amy Cox,5010,West,Dayton
Preble,State House,43,R,Rodney Creech,16584,West,Dayton
Putnam,U.S. House,5,R,Bob Latta,16935,Northwest,Toledo
Putnam,U.S. House,5,D,Nick Rubando,2461,Northwest,Toledo
Putnam,State House,81,,Janet Breneman,309,Northwest,Toledo
Putnam,State House,81,R,James M. Hoops,16878,Northwest,Toledo
Richland,U.S. House,7,R,Bob Gibbs,19129,Northeast,Cleveland
Richland,U.S. House,7,I,Brandon Lape,821,Northeast,Cleveland
Richland,U.S. House,7,D,Quentin Potter,5411,Northeast,Cleveland
Richland,U.S. House,12,R,Troy Balderson,21064,Northeast,Cleveland
Richland,U.S. House,12,D,Alaina Shearer,10583,Northeast,Cleveland
Richland,U.S. House,12,I,John S. Stewart,1171,Northeast,Cleveland
Richland,State Senate,22,D,Ryan Hunger,16022,Northeast,Cleveland
Richland,State Senate,22,R,Mark Romanchuk,41925,Northeast,Cleveland
Richland,State House,2,D,Sam Grady,16440,Northeast,Cleveland
Richland,State House,2,R,Marilyn John,41102,Northeast,Cleveland
Ross,U.S. House,2,D,Jaime M. Castle,6129,Central,Columbus
Ross,U.S. House,2,,James J. Condit Jr,0,Central,Columbus
Ross,U.S. House,2,R,Brad Wenstrup,11539,Central,Columbus
Ross,U.S. House,15,,Shane Hoffman,1,Central,Columbus
Ross,U.S. House,15,D,Joel Newby,3551,Central,Columbus
Ross,U.S. House,15,R,Steve Stivers,11220,Central,Columbus
Ross,State House,91,D,Scott M. Dailey,796,Central,Columbus
Ross,State House,91,R,Shane Wilkin,2255,Central,Columbus
Ross,State House,92,R,Mark Johnson,18138,Central,Columbus
Ross,State House,92,D,Beth Workman,11196,Central,Columbus
Sandusky,U.S. House,4,D,Shannon M. Freshour,9598,Northwest,Toledo
Sandusky,U.S. House,4,R,Jim Jordan,18766,Northwest,Toledo
Sandusky,U.S. House,4,I,Steve Perkins,1063,Northwest,Toledo
Sandusky,State Senate,26,R,Bill Reineke,19427,Northwest,Toledo
Sandusky,State Senate,26,D,Craig Swartz,9739,Northwest,Toledo
Sandusky,State Senate,26,,Robert Taylor,37,Northwest,Toledo
Sandusky,State House,88,R,Gary N. Click,17703,Northwest,Toledo
Sandusky,State House,88,D,Chris Liebold,11377,Northwest,Toledo
Scioto,U.S. House,2,D,Jaime M. Castle,5046,Southeast,Charleston
Scioto,U.S. House,2,,James J. Condit Jr,1,Southeast,Charleston
Scioto,U.S. House,2,R,Brad Wenstrup,9769,Southeast,Charleston
Scioto,U.S. House,6,R,Bill Johnson,12457,Southeast,Charleston
Scioto,U.S. House,6,D,Shawna Roberts,3707,Southeast,Charleston
Scioto,State Senate,14,R,Terry A. Johnson,23036,Southeast,Charleston
Scioto,State Senate,14,D,Ryan Ottney,8363,Southeast,Charleston
Scioto,State House,90,R,Brian Baldridge,25044,Southeast,Charleston
Seneca,U.S. House,4,D,Shannon M. Freshour,7548,Northwest,Toledo
Seneca,U.S. House,4,R,Jim Jordan,17115,Northwest,Toledo
Seneca,U.S. House,4,I,Steve Perkins,838,Northwest,Toledo
Seneca,State Senate,26,R,Bill Reineke,18037,Northwest,Toledo
Seneca,State Senate,26,D,Craig Swartz,7222,Northwest,Toledo
Seneca,State Senate,26,,Robert Taylor,48,Northwest,Toledo
Seneca,State House,87,D,Nicholas Barnes,468,Northwest,Toledo
Seneca,State House,87,R,Riordan T. McClain,1512,Northwest,Toledo
Seneca,State House,88,R,Gary N. Click,15120,Northwest,Toledo
Seneca,State House,88,D,Chris Liebold,7982,Northwest,Toledo
Shelby,U.S. House,4,D,Shannon M. Freshour,3926,West,Dayton
Shelby,U.S. House,4,R,Jim Jordan,20483,West,Dayton
Shelby,U.S. House,4,I,Steve Perkins,509,West,Dayton
Shelby,State Senate,12,R,Matt Huffman,19827,West,Dayton
Shelby,State Senate,12,D,Ken Poling,4047,West,Dayton
Shelby,State House,84,R,Susan Manchester,9095,West,Dayton
Shelby,State House,84,D,Joseph A. Monbeck,1292,West,Dayton
Shelby,State House,85,,Ted Greek,457,West,Dayton
Shelby,State House,85,R,Nino Vitale,11437,West,Dayton
Stark,U.S. House,7,R,Bob Gibbs,65431,Northeast,Cleveland
Stark,U.S. House,7,I,Brandon Lape,3606,Northeast,Cleveland
Stark,U.S. House,7,D,Quentin Potter,39882,Northeast,Cleveland
Stark,U.S. House,13,I,Michael Fricke,280,Northeast,Cleveland
Stark,U.S. House,13,R,Christina M. Hagan,6120,Northeast,Cleveland
Stark,U.S. House,13,D,Tim Ryan,4222,Northeast,Cleveland
Stark,U.S. House,16,D,Aaron Paul Godfrey,21345,Northeast,Cleveland
Stark,U.S. House,16,R,Anthony Gonzalez,41979,Northeast,Cleveland
Stark,State House,38,D,Joe Campbell,5019,Northeast,Cleveland
Stark,State House,38,R,Bill Roemer,11244,Northeast,Cleveland
Stark,State House,48,,Jean Mastin,1361,Northeast,Cleveland
Stark,State House,48,R,Scott Oelslager,50815,Northeast,Cleveland
Stark,State House,49,R,James Haavisto,20416,Northeast,Cleveland
Stark,State House,49,D,Thomas E. West,24305,Northeast,Cleveland
Stark,State House,50,D,Brian K Simeone,18197,Northeast,Cleveland
Stark,State House,50,R,Reggie Stoltzfus,39192,Northeast,Cleveland
Summit,U.S. House,11,D,Marcia L. Fudge,29794,Northeast,Cleveland
Summit,U.S. House,11,R,Laverne Gore,12026,Northeast,Cleveland
Summit,U.S. House,13,I,Michael Fricke,2903,Northeast,Cleveland
Summit,U.S. House,13,R,Christina M. Hagan,42032,Northeast,Cleveland
Summit,U.S. House,13,D,Tim Ryan,56748,Northeast,Cleveland
Summit,U.S. House,14,R,David P. Joyce,42679,Northeast,Cleveland
Summit,U.S. House,14,D,Hillary O'Connor Mueri,37842,Northeast,Cleveland
Summit,U.S. House,16,D,Aaron Paul Godfrey,17540,Northeast,Cleveland
Summit,U.S. House,16,R,Anthony Gonzalez,28646,Northeast,Cleveland
Summit,State Senate,28,R,Michael Downey,59701,Northeast,Cleveland
Summit,State Senate,28,D,Vernon Sykes,88929,Northeast,Cleveland
Summit,State House,34,D,Emilia Sykes,36251,Northeast,Cleveland
Summit,State House,34,R,Henry Todd,10926,Northeast,Cleveland
Summit,State House,35,D,Tavia Galonski,22341,Northeast,Cleveland
Summit,State House,35,R,Jodi Sarver,17210,Northeast,Cleveland
Summit,State House,36,D,Matt Shaughnessy,29441,Northeast,Cleveland
Summit,State House,36,R,Bob Young,32294,Northeast,Cleveland
Summit,State House,37,R,Beth Bigham,34776,Northeast,Cleveland
Summit,State House,37,D,Casey Weinstein,36789,Northeast,Cleveland
Summit,State House,38,D,Joe Campbell,20172,Northeast,Cleveland
Summit,State House,38,R,Bill Roemer,27425,Northeast,Cleveland
Trumbull,U.S. House,13,I,Michael Fricke,2133,Northeast,Youngstown
Trumbull,U.S. House,13,R,Christina M. Hagan,44697,Northeast,Youngstown
Trumbull,U.S. House,13,D,Tim Ryan,43574,Northeast,Youngstown
Trumbull,U.S. House,14,R,David P. Joyce,7152,Northeast,Youngstown
Trumbull,U.S. House,14,D,Hillary O'Connor Mueri,2463,Northeast,Youngstown
Trumbull,State Senate,32,R,Sandra O'Brien,44274,Northeast,Youngstown
Trumbull,State Senate,32,D,Sean J. O'Brien,53752,Northeast,Youngstown
Trumbull,State House,63,D,Gil Blair,25379,Northeast,Youngstown
Trumbull,State House,63,R,Mike Loychik,29999,Northeast,Youngstown
Trumbull,State House,64,D,Michael J. O'Brien,22229,Northeast,Youngstown
Trumbull,State House,64,R,Martha Yoder,20215,Northeast,Youngstown
Tuscarawas,U.S. House,6,R,Bill Johnson,7784,Northeast,Cleveland
Tuscarawas,U.S. House,6,D,Shawna Roberts,2906,Northeast,Cleveland
Tuscarawas,U.S. House,7,R,Bob Gibbs,23142,Northeast,Cleveland
Tuscarawas,U.S. House,7,I,Brandon Lape,924,Northeast,Cleveland
Tuscarawas,U.S. House,7,D,Quentin Potter,8121,Northeast,Cleveland
Tuscarawas,State House,98,D,Todd E. Beegle,11478,Northeast,Cleveland
Tuscarawas,State House,98,R,Brett Hudson Hillyer,31085,Northeast,Cleveland
Union,U.S. House,4,D,Shannon M. Freshour,9855,Central,Columbus
Union,U.S. House,4,R,Jim Jordan,21978,Central,Columbus
Union,U.S. House,4,I,Steve Perkins,1011,Central,Columbus
Union,State Senate,26,R,Bill Reineke,22313,Central,Columbus
Union,State Senate,26,D,Craig Swartz,9913,Central,Columbus
Union,State Senate,26,,Robert Taylor,26,Central,Columbus
Union,State House,86,R,Tracy Richardson,23225,Central,Columbus
Union,State House,86,D,Tiffanie Roberts,9410,Central,Columbus
Van Wert,U.S. House,5,R,Bob Latta,11928,West,Ft. Wayne
Van Wert,U.S. House,5,D,Nick Rubando,2626,West,Ft. Wayne
Van Wert,State House,82,R,Craig S. Riedel,12285,West,Ft. Wayne
Van Wert,State House,82,,Elecia Wobler,322,West,Ft. Wayne
Vinton,U.S. House,15,,Shane Hoffman,3,Southeast,Charleston
Vinton,U.S. House,15,D,Joel Newby,1230,Southeast,Charleston
Vinton,U.S. House,15,R,Steve Stivers,4444,Southeast,Charleston
Vinton,State Senate,30,D,Michael Fletcher,616,Southeast,Charleston
Vinton,State Senate,30,R,Frank Hoagland,1470,Southeast,Charleston
Vinton,State House,93,,Tad Saunders,105,Southeast,Charleston
Vinton,State House,93,R,Jason Stephens,2827,Southeast,Charleston
Vinton,State House,94,R,Jay Edwards,1544,Southeast,Charleston
Vinton,State House,94,D,Katie O'Neill,580,Southeast,Charleston
Warren,U.S. House,1,R,Steve Chabot,87071,Southwest,Cincinnati
Warren,U.S. House,1,I,Kevin David Kahn,5135,Southwest,Cincinnati
Warren,U.S. House,1,,Kiumars Kiani,4,Southwest,Cincinnati
Warren,U.S. House,1,D,Kate Schroder,41660,Southwest,Cincinnati
Warren,State House,54,D,Morgan Showen,22261,Southwest,Cincinnati
Warren,State House,54,R,Paul Zeltwanger,36261,Southwest,Cincinnati
Warren,State House,62,R,Scott Lipps,54802,Southwest,Cincinnati
Warren,State House,62,D,Erin Rosiello,18596,Southwest,Cincinnati
Washington,U.S. House,6,R,Bill Johnson,22985,Southeast,Parkersburg
Washington,U.S. House,6,D,Shawna Roberts,8494,Southeast,Parkersburg
Washington,State Senate,30,D,Michael Fletcher,9254,Southeast,Parkersburg
Washington,State Senate,30,R,Frank Hoagland,21566,Southeast,Parkersburg
Washington,State House,94,R,Jay Edwards,10932,Southeast,Parkersburg
Washington,State House,94,D,Katie O'Neill,4533,Southeast,Parkersburg
Washington,State House,95,R,Don Jones,12888,Southeast,Parkersburg
Wayne,U.S. House,16,D,Aaron Paul Godfrey,14381,Northeast,Cleveland
Wayne,U.S. House,16,R,Anthony Gonzalez,38035,Northeast,Cleveland
Wayne,State House,1,D,Alison Theiss,15836,Northeast,Cleveland
Wayne,State House,1,R,Scott Wiggam,36730,Northeast,Cleveland
Williams,U.S. House,5,R,Bob Latta,14163,Northwest,Toledo
Williams,U.S. House,5,D,Nick Rubando,3999,Northwest,Toledo
Williams,State House,81,,Janet Breneman,707,Northwest,Toledo
Williams,State House,81,R,James M. Hoops,14299,Northwest,Toledo
Wood,U.S. House,5,R,Bob Latta,40267,Northwest,Toledo
Wood,U.S. House,5,D,Nick Rubando,25859,Northwest,Toledo
Wood,State Senate,2,R,Theresa Gavarone,40411,Northwest,Toledo
Wood,State Senate,2,D,Joel O'Dorisio,25178,Northwest,Toledo
Wood,State House,3,R,Haraz N. Ghanbari,37677,Northwest,Toledo
Wood,State House,3,D,Laurel Johnson,27094,Northwest,Toledo
Wyandot,U.S. House,5,R,Bob Latta,8889,Northwest,Toledo
Wyandot,U.S. House,5,D,Nick Rubando,2347,Northwest,Toledo
Wyandot,State Senate,26,R,Bill Reineke,8070,Northwest,Toledo
Wyandot,State Senate,26,D,Craig Swartz,2902,Northwest,Toledo
Wyandot,State Senate,26,,Robert Taylor,90,Northwest,Toledo
Wyandot,State House,87,D,Nicholas Barnes,2615,Northwest,Toledo
Wyandot,State House,87,R,Riordan T. McClain,8524,Northwest,Toledo
