county,office,district,party,candidate,votes,region,media_market
Clark,State House,74,R,Bill Dean,8796,West,Dayton
Clark,State House,74,,Michael Johnson,53,West,Dayton
Clark,State House,74,,Ted McClenen,480,West,Dayton
Clark,State House,79,R,Kyle Koehler,32705,West,Dayton
Clark,State House,79,D,Cynthia Richards,19127,West,Dayton
Clermont,U.S. House,2,D,Jaime M. Castle,29366,Southwest,Cincinnati
Clermont,U.S. House,2,,James J. Condit Jr,8,Southwest,Cincinnati
Clermont,U.S. House,2,R,Brad Wenstrup,78985,Southwest,Cincinnati
Clermont,State Senate,14,R,Terry A. Johnson,75051,Southwest,Cincinnati
Clermont,State Senate,14,D,Ryan Ottney,31089,Southwest,Cincinnati
Clermont,State House,65,D,Alan Darnowsky,23019,Southwest,Cincinnati
Clermont,State House,65,,Jim Lewis,506,Southwest,Cincinnati
Clermont,State House,65,R,Jean Schmidt,44435,Southwest,Cincinnati
Clermont,State House,66,R,Adam C. Bird,30976,Southwest,Cincinnati
Clermont,State House,66,,Alicia Gee,1713,Southwest,Cincinnati
Clinton,U.S. House,15,,Shane Hoffman,5,Southwest,Cincinnati
Clinton,U.S. House,15,D,Joel Newby,4153,Southwest,Cincinnati
Clinton,U.S. House,15,R,Steve Stivers,15876,Southwest,Cincinnati
Clinton,State House,91,D,Scott M. Dailey,4344,Southwest,Cincinnati
Clinton,State House,91,R,Shane Wilkin,15499,Southwest,Cincinnati
Columbiana,U.S. House,6,R,Bill Johnson,36472,Northeast,Youngstown
Columbiana,U.S. House,6,D,Shawna Roberts,12546,Northeast,Youngstown
Columbiana,State House,5,R,Tim Ginter,36243,Northeast,Youngstown
Columbiana,State House,5,D,Daniel Winston,12554,Northeast,Youngstown
Coshocton,U.S. House,7,R,Bob Gibbs,12268,Central,Columbus
Coshocton,U.S. House,7,I,Brandon Lape,586,Central,Columbus
Coshocton,U.S. House,7,D,Quentin Potter,3371,Central,Columbus
Coshocton,State House,72,,Kaitlyn Clark,573,Central,Columbus
Coshocton,State House,72,,Jay A. Conrad,716,Central,Columbus
Coshocton,State House,72,R,Larry Householder,7507,Central,Columbus
Coshocton,State House,72,,Robert Leist,1853,Central,Columbus
Coshocton,State House,72,,Marci McCaulay,1411,Central,Columbus
Crawford,U.S. House,4,D,Shannon M. Freshour,4557,Central,Columbus
Crawford,U.S. House,4,R,Jim Jordan,15260,Central,Columbus
Crawford,U.S. House,4,I,Steve Perkins,623,Central,Columbus
Crawford,State Senate,26,R,Bill Reineke,14730,Central,Columbus
