county,candidate,votes,party,office,district
Athens,Barack Obama,5845,Democratic,President,6
Belmont,Barack Obama,3514,Democratic,President,6
Columbiana,Barack Obama,5555,Democratic,President,6
Gallia,Barack Obama,879,Democratic,President,6
Jefferson,Barack Obama,5907,Democratic,President,6
Lawrence,Barack Obama,2116,Democratic,President,6
Mahoning,Barack Obama,9611,Democratic,President,6
Meigs,Barack Obama,745,Democratic,President,6
Monroe,Barack Obama,1021,Democratic,President,6
Noble,Barack Obama,542,Democratic,President,6
Scioto,Barack Obama,883,Democratic,President,6
Washington,Barack Obama,3060,Democratic,President,6
Clark,Hillary Clinton,16066,Democratic,President,7
Fairfield,Hillary Clinton,14721,Democratic,President,7
Fayette,Hillary Clinton,2511,Democratic,President,7
Franklin,Hillary Clinton,8181,Democratic,President,7
Greene,Hillary Clinton,13727,Democratic,President,7
Perry,Hillary Clinton,4797,Democratic,President,7
Pickaway,Hillary Clinton,6395,Democratic,President,7
Ross,Hillary Clinton,1281,Democratic,President,7
Clark,John Edwards,511,Democratic,President,7
Fairfield,John Edwards,482,Democratic,President,7
Fayette,John Edwards,76,Democratic,President,7
Franklin,John Edwards,215,Democratic,President,7
Greene,John Edwards,370,Democratic,President,7
Perry,John Edwards,182,Democratic,President,7
Pickaway,John Edwards,250,Democratic,President,7
Ross,John Edwards,33,Democratic,President,7
Clark,Barack Obama,10693,Democratic,President,7
Fairfield,Barack Obama,9623,Democratic,President,7
Fayette,Barack Obama,1057,Democratic,President,7
Franklin,Barack Obama,9794,Democratic,President,7
Greene,Barack Obama,13241,Democratic,President,7
Perry,Barack Obama,1460,Democratic,President,7
Pickaway,Barack Obama,2747,Democratic,President,7
Ross,Barack Obama,501,Democratic,President,7
Butler,Hillary Clinton,25456,Democratic,President,8
Darke,Hillary Clinton,3985,Democratic,President,8
Mercer,Hillary Clinton,2114,Democratic,President,8
Miami,Hillary Clinton,9005,Democratic,President,8
Montgomery,Hillary Clinton,9759,Democratic,President,8
Preble,Hillary Clinton,4342,Democratic,President,8
Butler,John Edwards,537,Democratic,President,8
Darke,John Edwards,197,Democratic,President,8
Mercer,John Edwards,152,Democratic,President,8
Miami,John Edwards,363,Democratic,President,8
Montgomery,John Edwards,257,Democratic,President,8
Preble,John Edwards,198,Democratic,President,8
Butler,Barack Obama,21685,Democratic,President,8
Darke,Barack Obama,2738,Democratic,President,8
Mercer,Barack Obama,1737,Democratic,President,8
Miami,Barack Obama,6480,Democratic,President,8
Montgomery,Barack Obama,6818,Democratic,President,8
Preble,Barack Obama,2007,Democratic,President,8
Erie,Hillary Clinton,9938,Democratic,President,9
Lorain,Hillary Clinton,9984,Democratic,President,9
Lucas,Hillary Clinton,50033,Democratic,President,9
Ottawa,Hillary Clinton,5922,Democratic,President,9
Erie,John Edwards,304,Democratic,President,9
Lorain,John Edwards,364,Democratic,President,9
Lucas,John Edwards,966,Democratic,President,9
Ottawa,John Edwards,202,Democratic,President,9
Erie,Barack Obama,7523,Democratic,President,9
Lorain,Barack Obama,7477,Democratic,President,9
Lucas,Barack Obama,46184,Democratic,President,9
Ottawa,Barack Obama,3440,Democratic,President,9
Cuyahoga,Hillary Clinton,89312,Democratic,President,10
Cuyahoga,John Edwards,2311,Democratic,President,10
Cuyahoga,Barack Obama,55211,Democratic,President,10
Cuyahoga,Hillary Clinton,50309,Democratic,President,11
Cuyahoga,John Edwards,837,Democratic,President,11
Cuyahoga,Barack Obama,121058,Democratic,President,11
Delaware,Hillary Clinton,14495,Democratic,President,12
Franklin,Hillary Clinton,35639,Democratic,President,12
Licking,Hillary Clinton,10881,Democratic,President,12
Delaware,John Edwards,240,Democratic,President,12
Franklin,John Edwards,692,Democratic,President,12
Licking,John Edwards,354,Democratic,President,12
Delaware,Barack Obama,14873,Democratic,President,12
Franklin,Barack Obama,64631,Democratic,President,12
Licking,Barack Obama,7834,Democratic,President,12
Cuyahoga,Hillary Clinton,13446,Democratic,President,13
Lorain,Hillary Clinton,27750,Democratic,President,13
Medina,Hillary Clinton,7556,Democratic,President,13
Summit,Hillary Clinton,34606,Democratic,President,13
Cuyahoga,John Edwards,275,Democratic,President,13
Lorain,John Edwards,822,Democratic,President,13
Medina,John Edwards,168,Democratic,President,13
Summit,John Edwards,986,Democratic,President,13
Cuyahoga,Barack Obama,8542,Democratic,President,13
Lorain,Barack Obama,20107,Democratic,President,13
Medina,Barack Obama,3987,Democratic,President,13
Summit,Barack Obama,32954,Democratic,President,13
Ashtabula,Hillary Clinton,13231,Democratic,President,14
Cuyahoga,Hillary Clinton,6986,Democratic,President,14
Geauga,Hillary Clinton,10521,Democratic,President,14
Lake,Hillary Clinton,31452,Democratic,President,14
Portage,Hillary Clinton,3865,Democratic,President,14
Summit,Hillary Clinton,18101,Democratic,President,14
Trumbull,Hillary Clinton,1475,Democratic,President,14
Ashtabula,John Edwards,412,Democratic,President,14
Cuyahoga,John Edwards,89,Democratic,President,14
Geauga,John Edwards,248,Democratic,President,14
Lake,John Edwards,755,Democratic,President,14
Portage,John Edwards,117,Democratic,President,14
Summit,John Edwards,394,Democratic,President,14
Trumbull,John Edwards,91,Democratic,President,14
Ashtabula,Barack Obama,6375,Democratic,President,14
Cuyahoga,Barack Obama,6091,Democratic,President,14
Geauga,Barack Obama,8486,Democratic,President,14
Lake,Barack Obama,18413,Democratic,President,14
Portage,Barack Obama,2711,Democratic,President,14
Summit,Barack Obama,13890,Democratic,President,14
Trumbull,Barack Obama,795,Democratic,President,14
Franklin,Hillary Clinton,52683,Democratic,President,15
Madison,Hillary Clinton,3259,Democratic,President,15
Union,Hillary Clinton,3826,Democratic,President,15
Franklin,John Edwards,1053,Democratic,President,15
Madison,John Edwards,92,Democratic,President,15
Union,John Edwards,117,Democratic,President,15
Franklin,Barack Obama,56073,Democratic,President,15
Madison,Barack Obama,1618,Democratic,President,15
Union,Barack Obama,2729,Democratic,President,15
Ashland,Hillary Clinton,2825,Democratic,President,16
Medina,Hillary Clinton,12627,Democratic,President,16
Stark,Hillary Clinton,49236,Democratic,President,16
Wayne,Hillary Clinton,9953,Democratic,President,16
Ashland,John Edwards,100,Democratic,President,16
Medina,John Edwards,361,Democratic,President,16
Stark,John Edwards,2045,Democratic,President,16
Wayne,John Edwards,334,Democratic,President,16
Ashland,Barack Obama,1985,Democratic,President,16
Medina,Barack Obama,8584,Democratic,President,16
Stark,Barack Obama,32923,Democratic,President,16
Wayne,Barack Obama,6539,Democratic,President,16
Mahoning,Hillary Clinton,27520,Democratic,President,17
Portage,Hillary Clinton,16718,Democratic,President,17
Summit,Hillary Clinton,18468,Democratic,President,17
Trumbull,Hillary Clinton,42056,Democratic,President,17
Mahoning,John Edwards,749,Democratic,President,17
Portage,John Edwards,605,Democratic,President,17
Summit,John Edwards,581,Democratic,President,17
Trumbull,John Edwards,1572,Democratic,President,17
Mahoning,Barack Obama,18083,Democratic,President,17
Portage,Barack Obama,10649,Democratic,President,17
Summit,Barack Obama,11704,Democratic,President,17
Trumbull,Barack Obama,19507,Democratic,President,17
Athens,Hillary Clinton,2717,Democratic,President,18
Belmont,Hillary Clinton,3019,Democratic,President,18
Carroll,Hillary Clinton,3663,Democratic,President,18
Coshocton,Hillary Clinton,4128,Democratic,President,18
Guernsey,Hillary Clinton,4736,Democratic,President,18
Harrison,Hillary Clinton,2765,Democratic,President,18
Hocking,Hillary Clinton,3814,Democratic,President,18
Holmes,Hillary Clinton,1487,Democratic,President,18
Jackson,Hillary Clinton,3878,Democratic,President,18
Knox,Hillary Clinton,4798,Democratic,President,18
Licking,Hillary Clinton,6322,Democratic,President,18
Morgan,Hillary Clinton,1586,Democratic,President,18
Muskingum,Hillary Clinton,9443,Democratic,President,18
Ross,Hillary Clinton,8300,Democratic,President,18
Tuscarawas,Hillary Clinton,12525,Democratic,President,18
Vinton,Hillary Clinton,1924,Democratic,President,18
Athens,John Edwards,161,Democratic,President,18
Belmont,John Edwards,195,Democratic,President,18
Carroll,John Edwards,232,Democratic,President,18
Coshocton,John Edwards,190,Democratic,President,18
Guernsey,John Edwards,212,Democratic,President,18
Harrison,John Edwards,213,Democratic,President,18
Hocking,John Edwards,161,Democratic,President,18
Holmes,John Edwards,81,Democratic,President,18
Jackson,John Edwards,140,Democratic,President,18
Knox,John Edwards,167,Democratic,President,18
Licking,John Edwards,256,Democratic,President,18
Morgan,John Edwards,72,Democratic,President,18
Muskingum,John Edwards,344,Democratic,President,18
Ross,John Edwards,276,Democratic,President,18
Tuscarawas,John Edwards,746,Democratic,President,18
Vinton,John Edwards,110,Democratic,President,18
Athens,Barack Obama,1551,Democratic,President,18
Belmont,Barack Obama,1122,Democratic,President,18
Carroll,Barack Obama,1731,Democratic,President,18
Coshocton,Barack Obama,1997,Democratic,President,18
Guernsey,Barack Obama,1737,Democratic,President,18
Harrison,Barack Obama,967,Democratic,President,18
Hocking,Barack Obama,1723,Democratic,President,18
Holmes,Barack Obama,1087,Democratic,President,18
Jackson,Barack Obama,795,Democratic,President,18
Knox,Barack Obama,3645,Democratic,President,18
Licking,Barack Obama,3152,Democratic,President,18
Morgan,Barack Obama,640,Democratic,President,18
Muskingum,Barack Obama,4367,Democratic,President,18
Ross,Barack Obama,3491,Democratic,President,18
Tuscarawas,Barack Obama,6568,Democratic,President,18
Vinton,Barack Obama,458,Democratic,President,18
Butler,Mike Huckabee,1515,Republican,President,1
Hamilton,Mike Huckabee,12907,Republican,President,1
Butler,John McCain,1931,Republican,President,1
Hamilton,John McCain,26101,Republican,President,1
Butler,Ron Paul,127,Republican,President,1
Hamilton,Ron Paul,2304,Republican,President,1
Butler,Mitt Romney,162,Republican,President,1
Hamilton,Mitt Romney,2887,Republican,President,1
Butler,Fred Thompson,88,Republican,President,1
Hamilton,Fred Thompson,1219,Republican,President,1
Adams,Mike Huckabee,1482,Republican,President,2
Brown,Mike Huckabee,1945,Republican,President,2
Clermont,Mike Huckabee,9204,Republican,President,2
Hamilton,Mike Huckabee,7266,Republican,President,2
Pike,Mike Huckabee,941,Republican,President,2
Scioto,Mike Huckabee,1328,Republican,President,2
Warren,Mike Huckabee,4911,Republican,President,2
Adams,John McCain,1492,Republican,President,2
Brown,John McCain,2307,Republican,President,2
Clermont,John McCain,14530,Republican,President,2
Hamilton,John McCain,19990,Republican,President,2
Pike,John McCain,906,Republican,President,2
Scioto,John McCain,1698,Republican,President,2
Warren,John McCain,6767,Republican,President,2
Adams,Ron Paul,75,Republican,President,2
Brown,Ron Paul,199,Republican,President,2
Clermont,Ron Paul,1181,Republican,President,2
Hamilton,Ron Paul,1523,Republican,President,2
Pike,Ron Paul,63,Republican,President,2
Scioto,Ron Paul,63,Republican,President,2
Warren,Ron Paul,507,Republican,President,2
Adams,Mitt Romney,104,Republican,President,2
Brown,Mitt Romney,177,Republican,President,2
Clermont,Mitt Romney,1339,Republican,President,2
Hamilton,Mitt Romney,2266,Republican,President,2
Pike,Mitt Romney,53,Republican,President,2
Scioto,Mitt Romney,111,Republican,President,2
Warren,Mitt Romney,711,Republican,President,2
Adams,Fred Thompson,67,Republican,President,2
Brown,Fred Thompson,91,Republican,President,2
Clermont,Fred Thompson,683,Republican,President,2
Hamilton,Fred Thompson,641,Republican,President,2
Pike,Fred Thompson,54,Republican,President,2
Scioto,Fred Thompson,75,Republican,President,2
Warren,Fred Thompson,283,Republican,President,2
Clinton,Mike Huckabee,2362,Republican,President,3
Highland,Mike Huckabee,2187,Republican,President,3
Montgomery,Mike Huckabee,15006,Republican,President,3
Warren,Mike Huckabee,5591,Republican,President,3
Clinton,John McCain,2973,Republican,President,3
Highland,John McCain,2590,Republican,President,3
Montgomery,John McCain,22116,Republican,President,3
Warren,John McCain,7238,Republican,President,3
Clinton,Ron Paul,196,Republican,President,3
Highland,Ron Paul,125,Republican,President,3
Montgomery,Ron Paul,1724,Republican,President,3
Warren,Ron Paul,496,Republican,President,3
Clinton,Mitt Romney,183,Republican,President,3
Highland,Mitt Romney,173,Republican,President,3
Montgomery,Mitt Romney,2089,Republican,President,3
Warren,Mitt Romney,717,Republican,President,3
Clinton,Fred Thompson,123,Republican,President,3
Highland,Fred Thompson,135,Republican,President,3
Montgomery,Fred Thompson,960,Republican,President,3
Warren,Fred Thompson,328,Republican,President,3
Allen,Mike Huckabee,4067,Republican,President,4
Auglaize,Mike Huckabee,1742,Republican,President,4
Champaign,Mike Huckabee,2350,Republican,President,4
Hancock,Mike Huckabee,3610,Republican,President,4
Hardin,Mike Huckabee,1413,Republican,President,4
Logan,Mike Huckabee,2663,Republican,President,4
Marion,Mike Huckabee,2330,Republican,President,4
Morrow,Mike Huckabee,1972,Republican,President,4
Richland,Mike Huckabee,4623,Republican,President,4
Shelby,Mike Huckabee,2147,Republican,President,4
Wyandot,Mike Huckabee,489,Republican,President,4
Allen,John McCain,6813,Republican,President,4
Auglaize,John McCain,2615,Republican,President,4
Champaign,John McCain,3231,Republican,President,4
Hancock,John McCain,5645,Republican,President,4
Hardin,John McCain,2213,Republican,President,4
Logan,John McCain,3489,Republican,President,4
Marion,John McCain,3494,Republican,President,4
Morrow,John McCain,2271,Republican,President,4
Richland,John McCain,6292,Republican,President,4
Shelby,John McCain,2516,Republican,President,4
Wyandot,John McCain,650,Republican,President,4
Allen,Ron Paul,848,Republican,President,4
Auglaize,Ron Paul,490,Republican,President,4
Champaign,Ron Paul,238,Republican,President,4
Hancock,Ron Paul,895,Republican,President,4
Hardin,Ron Paul,263,Republican,President,4
Logan,Ron Paul,297,Republican,President,4
Marion,Ron Paul,207,Republican,President,4
Morrow,Ron Paul,283,Republican,President,4
Richland,Ron Paul,836,Republican,President,4
Shelby,Ron Paul,323,Republican,President,4
Wyandot,Ron Paul,109,Republican,President,4
Allen,Mitt Romney,738,Republican,President,4
Auglaize,Mitt Romney,282,Republican,President,4
Champaign,Mitt Romney,236,Republican,President,4
Hancock,Mitt Romney,507,Republican,President,4
Hardin,Mitt Romney,180,Republican,President,4
Logan,Mitt Romney,337,Republican,President,4
Marion,Mitt Romney,305,Republican,President,4
Morrow,Mitt Romney,207,Republican,President,4
Richland,Mitt Romney,833,Republican,President,4
Shelby,Mitt Romney,221,Republican,President,4
Wyandot,Mitt Romney,79,Republican,President,4
Allen,Fred Thompson,323,Republican,President,4
Auglaize,Fred Thompson,124,Republican,President,4
Champaign,Fred Thompson,152,Republican,President,4
Hancock,Fred Thompson,249,Republican,President,4
Hardin,Fred Thompson,123,Republican,President,4
Logan,Fred Thompson,176,Republican,President,4
Marion,Fred Thompson,168,Republican,President,4
Morrow,Fred Thompson,148,Republican,President,4
Richland,Fred Thompson,359,Republican,President,4
Shelby,Fred Thompson,102,Republican,President,4
Wyandot,Fred Thompson,46,Republican,President,4
Ashland,Mike Huckabee,537,Republican,President,5
Crawford,Mike Huckabee,1784,Republican,President,5
Defiance,Mike Huckabee,1577,Republican,President,5
Fulton,Mike Huckabee,2104,Republican,President,5
Henry,Mike Huckabee,1087,Republican,President,5
Huron,Mike Huckabee,1578,Republican,President,5
Lucas,Mike Huckabee,669,Republican,President,5
Mercer,Mike Huckabee,409,Republican,President,5
Paulding,Mike Huckabee,908,Republican,President,5
Putnam,Mike Huckabee,1858,Republican,President,5
Sandusky,Mike Huckabee,2501,Republican,President,5
Seneca,Mike Huckabee,2435,Republican,President,5
Van Wert,Mike Huckabee,1550,Republican,President,5
Williams,Mike Huckabee,1695,Republican,President,5
Wood,Mike Huckabee,3668,Republican,President,5
Wyandot,Mike Huckabee,477,Republican,President,5
Ashland,John McCain,588,Republican,President,5
Crawford,John McCain,2307,Republican,President,5
Defiance,John McCain,2336,Republican,President,5
Fulton,John McCain,2583,Republican,President,5
Henry,John McCain,1706,Republican,President,5
Huron,John McCain,2276,Republican,President,5
Lucas,John McCain,1018,Republican,President,5
Mercer,John McCain,568,Republican,President,5
Paulding,John McCain,1044,Republican,President,5
Putnam,John McCain,2911,Republican,President,5
Sandusky,John McCain,3645,Republican,President,5
Seneca,John McCain,4039,Republican,President,5
Van Wert,John McCain,2239,Republican,President,5
Williams,John McCain,2391,Republican,President,5
Wood,John McCain,6390,Republican,President,5
Wyandot,John McCain,690,Republican,President,5
Ashland,Ron Paul,100,Republican,President,5
Crawford,Ron Paul,214,Republican,President,5
Defiance,Ron Paul,320,Republican,President,5
Fulton,Ron Paul,323,Republican,President,5
Henry,Ron Paul,110,Republican,President,5
Huron,Ron Paul,296,Republican,President,5
Lucas,Ron Paul,165,Republican,President,5
Mercer,Ron Paul,98,Republican,President,5
Paulding,Ron Paul,261,Republican,President,5
Putnam,Ron Paul,410,Republican,President,5
Sandusky,Ron Paul,503,Republican,President,5
Seneca,Ron Paul,558,Republican,President,5
Van Wert,Ron Paul,345,Republican,President,5
Williams,Ron Paul,325,Republican,President,5
Wood,Ron Paul,956,Republican,President,5
Wyandot,Ron Paul,61,Republican,President,5
Ashland,Mitt Romney,62,Republican,President,5
Crawford,Mitt Romney,268,Republican,President,5
Defiance,Mitt Romney,243,Republican,President,5
Fulton,Mitt Romney,297,Republican,President,5
Henry,Mitt Romney,155,Republican,President,5
Huron,Mitt Romney,213,Republican,President,5
Lucas,Mitt Romney,179,Republican,President,5
Mercer,Mitt Romney,51,Republican,President,5
Paulding,Mitt Romney,77,Republican,President,5
Putnam,Mitt Romney,354,Republican,President,5
Sandusky,Mitt Romney,462,Republican,President,5
Seneca,Mitt Romney,545,Republican,President,5
Van Wert,Mitt Romney,237,Republican,President,5
Williams,Mitt Romney,266,Republican,President,5
Wood,Mitt Romney,896,Republican,President,5
Wyandot,Mitt Romney,78,Republican,President,5
Ashland,Fred Thompson,39,Republican,President,5
Crawford,Fred Thompson,122,Republican,President,5
Defiance,Fred Thompson,140,Republican,President,5
Fulton,Fred Thompson,171,Republican,President,5
Henry,Fred Thompson,56,Republican,President,5
Huron,Fred Thompson,122,Republican,President,5
Lucas,Fred Thompson,62,Republican,President,5
Mercer,Fred Thompson,28,Republican,President,5
Paulding,Fred Thompson,68,Republican,President,5
Putnam,Fred Thompson,126,Republican,President,5
Sandusky,Fred Thompson,213,Republican,President,5
Seneca,Fred Thompson,239,Republican,President,5
Van Wert,Fred Thompson,106,Republican,President,5
Williams,Fred Thompson,127,Republican,President,5
Wood,Fred Thompson,339,Republican,President,5
Wyandot,Fred Thompson,56,Republican,President,5
Athens,Mike Huckabee,789,Republican,President,6
Belmont,Mike Huckabee,874,Republican,President,6
Columbiana,Mike Huckabee,3293,Republican,President,6
Gallia,Mike Huckabee,1609,Republican,President,6
Jefferson,Mike Huckabee,1618,Republican,President,6
Lawrence,Mike Huckabee,2809,Republican,President,6
Mahoning,Mike Huckabee,2460,Republican,President,6
Meigs,Mike Huckabee,1159,Republican,President,6
Monroe,Mike Huckabee,351,Republican,President,6
Noble,Mike Huckabee,727,Republican,President,6
Scioto,Mike Huckabee,1346,Republican,President,6
Washington,Mike Huckabee,2533,Republican,President,6
Athens,John McCain,1430,Republican,President,6
Belmont,John McCain,1484,Republican,President,6
Columbiana,John McCain,4616,Republican,President,6
Gallia,John McCain,2595,Republican,President,6
Jefferson,John McCain,2703,Republican,President,6
Lawrence,John McCain,3802,Republican,President,6
Mahoning,John McCain,3695,Republican,President,6
Meigs,John McCain,2125,Republican,President,6
Monroe,John McCain,397,Republican,President,6
Noble,John McCain,1192,Republican,President,6
Scioto,John McCain,1201,Republican,President,6
Washington,John McCain,4242,Republican,President,6
Athens,Ron Paul,283,Republican,President,6
Belmont,Ron Paul,96,Republican,President,6
Columbiana,Ron Paul,712,Republican,President,6
Gallia,Ron Paul,105,Republican,President,6
Jefferson,Ron Paul,243,Republican,President,6
Lawrence,Ron Paul,203,Republican,President,6
Mahoning,Ron Paul,459,Republican,President,6
Meigs,Ron Paul,165,Republican,President,6
Monroe,Ron Paul,54,Republican,President,6
Noble,Ron Paul,68,Republican,President,6
Scioto,Ron Paul,69,Republican,President,6
Washington,Ron Paul,505,Republican,President,6
Athens,Mitt Romney,89,Republican,President,6
Belmont,Mitt Romney,132,Republican,President,6
Columbiana,Mitt Romney,455,Republican,President,6
Gallia,Mitt Romney,96,Republican,President,6
Jefferson,Mitt Romney,269,Republican,President,6
Lawrence,Mitt Romney,223,Republican,President,6
Mahoning,Mitt Romney,487,Republican,President,6
Meigs,Mitt Romney,88,Republican,President,6
Monroe,Mitt Romney,37,Republican,President,6
Noble,Mitt Romney,64,Republican,President,6
Scioto,Mitt Romney,92,Republican,President,6
Washington,Mitt Romney,238,Republican,President,6
Athens,Fred Thompson,49,Republican,President,6
Belmont,Fred Thompson,158,Republican,President,6
Columbiana,Fred Thompson,267,Republican,President,6
Gallia,Fred Thompson,109,Republican,President,6
Jefferson,Fred Thompson,172,Republican,President,6
Lawrence,Fred Thompson,165,Republican,President,6
Mahoning,Fred Thompson,157,Republican,President,6
Meigs,Fred Thompson,99,Republican,President,6
Monroe,Fred Thompson,34,Republican,President,6
Noble,Fred Thompson,86,Republican,President,6
