county,office,district
Fayette,U.S. House,10
Athens,U.S. House,6
Scioto,U.S. House,6
Huron,U.S. House,7
Lorain,U.S. House,7
Tuscarawas,U.S. House,7
Mercer,U.S. House,5
Summit,U.S. House,16
Stark,U.S. House,16
Portage,U.S. House,16
Medina,U.S. House,16
Cuyahoga,U.S. House,16
Summit,U.S. House,11
Cuyahoga,U.S. House,11
Cuyahoga,U.S. House,9
Erie,U.S. House,9
Lorain,U.S. House,9
Lucas,U.S. House,9
Ottawa,U.S. House,9
Fayette,U.S. House,10
Franklin,U.S. House,12
Marion,U.S. House,12
Muskingum,U.S. House,12
Richland,U.S. House,12
Franklin,U.S. House,15
Ross,U.S. House,15
Mahoning,U.S. House,13
Portage,U.S. House,13
Stark,U.S. House,13
Summit,U.S. House,13
Trumbull,U.S. House,13
Mercer,U.S. House,8
