candidate,county,district,office,party,votes
Bryan Flannery,Huron,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,696
Bryan Flannery,Jackson,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,71
Bryan Flannery,Jefferson,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1355
Bryan Flannery,Knox,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,478
Bryan Flannery,Lake,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3673
Bryan Flannery,Lawrence,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,256
Bryan Flannery,Licking,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1428
Bryan Flannery,Logan,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,382
Bryan Flannery,Lorain,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,8366
Bryan Flannery,Lucas,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4982
Bryan Flannery,Madison,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,260
Bryan Flannery,Mahoning,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4245
Bryan Flannery,Marion,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,883
Bryan Flannery,Medina,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3522
Bryan Flannery,Meigs,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,73
Bryan Flannery,Mercer,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,532
Bryan Flannery,Miami,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,771
Bryan Flannery,Monroe,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,322
Bryan Flannery,Montgomery,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4150
Bryan Flannery,Morgan,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,136
Bryan Flannery,Morrow,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,466
Bryan Flannery,Muskingum,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1119
Bryan Flannery,Noble,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,154
Bryan Flannery,Ottawa,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,854
Bryan Flannery,Paulding,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,721
Bryan Flannery,Perry,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,378
Bryan Flannery,Pickaway,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,347
Bryan Flannery,Pike,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,78
Bryan Flannery,Portage,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4185
Bryan Flannery,Preble,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,419
Bryan Flannery,Putnam,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,586
Bryan Flannery,Richland,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2700
Bryan Flannery,Ross,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,369
Bryan Flannery,Sandusky,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1028
Bryan Flannery,Scioto,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,166
Bryan Flannery,Seneca,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,694
Bryan Flannery,Shelby,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,435
Bryan Flannery,Stark,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,9462
Bryan Flannery,Summit,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,13868
Bryan Flannery,Trumbull,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5530
Bryan Flannery,Tuscarawas,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1986
Bryan Flannery,Union,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,264
Bryan Flannery,Van Wert,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,388
Bryan Flannery,Vinton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,108
Bryan Flannery,Warren,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,938
Bryan Flannery,Washington,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,272
Bryan Flannery,Wayne,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1226
Bryan Flannery,Williams,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,615
Bryan Flannery,Wood,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1059
Bryan Flannery,Wyandot,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,300
Ted Strickland,Adams,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1416
Ted Strickland,Allen,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3866
Ted Strickland,Ashland,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1991
Ted Strickland,Ashtabula,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5774
Ted Strickland,Athens,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5546
Ted Strickland,Auglaize,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1465
Ted Strickland,Belmont,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,12054
Ted Strickland,Brown,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2424
Ted Strickland,Butler,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5815
Ted Strickland,Carroll,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2170
Ted Strickland,Champaign,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1597
Ted Strickland,Clark,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,7665
Ted Strickland,Clermont,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5189
Ted Strickland,Clinton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1074
Ted Strickland,Columbiana,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,9963
Ted Strickland,Coshocton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2038
Ted Strickland,Crawford,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2575
Ted Strickland,Cuyahoga,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,99359
Ted Strickland,Darke,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1892
Ted Strickland,Defiance,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1414
Ted Strickland,Delaware,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5791
Ted Strickland,Erie,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5211
Ted Strickland,Fairfield,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,7519
Ted Strickland,Fayette,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,835
Ted Strickland,Franklin,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,51141
Ted Strickland,Fulton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1335
Ted Strickland,Gallia,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1521
Ted Strickland,Geauga,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4680
Ted Strickland,Greene,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4789
Ted Strickland,Guernsey,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2929
Ted Strickland,Hamilton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,24043
Ted Strickland,Hancock,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1544
Ted Strickland,Hardin,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1113
Ted Strickland,Harrison,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1895
Ted Strickland,Henry,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1226
Ted Strickland,Highland,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1283
Ted Strickland,Hocking,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1949
Ted Strickland,Holmes,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,954
Ted Strickland,Huron,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1929
Ted Strickland,Jackson,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1530
Ted Strickland,Jefferson,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,11105
Ted Strickland,Knox,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2221
Ted Strickland,Lake,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,10203
Ted Strickland,Lawrence,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4324
Ted Strickland,Licking,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,7252
Ted Strickland,Logan,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1365
Ted Strickland,Lorain,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,23109
Ted Strickland,Lucas,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,23266
Ted Strickland,Madison,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1311
Ted Strickland,Mahoning,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,32031
Ted Strickland,Marion,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3491
Ted Strickland,Medina,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,8548
Ted Strickland,Meigs,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1473
Ted Strickland,Mercer,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1499
Ted Strickland,Miami,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3002
Ted Strickland,Monroe,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3256
Ted Strickland,Montgomery,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,18725
Ted Strickland,Morgan,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,922
Ted Strickland,Morrow,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1727
Ted Strickland,Muskingum,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4143
Ted Strickland,Noble,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1269
Ted Strickland,Ottawa,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2817
Ted Strickland,Paulding,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,787
Ted Strickland,Perry,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2136
Ted Strickland,Pickaway,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2858
Ted Strickland,Pike,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2295
Ted Strickland,Portage,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,10100
Ted Strickland,Preble,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1805
Ted Strickland,Putnam,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1928
Ted Strickland,Richland,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,7415
Ted Strickland,Ross,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5000
Ted Strickland,Sandusky,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2973
Ted Strickland,Scioto,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,7408
Ted Strickland,Seneca,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2487
Ted Strickland,Shelby,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1780
Ted Strickland,Stark,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,23699
Ted Strickland,Summit,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,38842
Ted Strickland,Trumbull,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,25791
Ted Strickland,Tuscarawas,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,7646
Ted Strickland,Union,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1247
Ted Strickland,Van Wert,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,800
Ted Strickland,Vinton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1253
Ted Strickland,Warren,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4072
Ted Strickland,Washington,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,4731
Ted Strickland,Wayne,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,3697
Ted Strickland,Williams,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1506
Ted Strickland,Wood,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,5383
Ted Strickland,Wyandot,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,912
Jennifer L. Brunner,Adams,,SECRETARY OF STATE,Democratic,1182
Jennifer L. Brunner,Allen,,SECRETARY OF STATE,Democratic,4467
Jennifer L. Brunner,Ashland,,SECRETARY OF STATE,Democratic,2243
Jennifer L. Brunner,Ashtabula,,SECRETARY OF STATE,Democratic,6633
Jennifer L. Brunner,Athens,,SECRETARY OF STATE,Democratic,4175
Jennifer L. Brunner,Auglaize,,SECRETARY OF STATE,Democratic,1676
Jennifer L. Brunner,Belmont,,SECRETARY OF STATE,Democratic,9882
Jennifer L. Brunner,Brown,,SECRETARY OF STATE,Democratic,2111
Jennifer L. Brunner,Butler,,SECRETARY OF STATE,Democratic,6596
Jennifer L. Brunner,Carroll,,SECRETARY OF STATE,Democratic,2364
Jennifer L. Brunner,Champaign,,SECRETARY OF STATE,Democratic,1420
Jennifer L. Brunner,Clark,,SECRETARY OF STATE,Democratic,7713
Jennifer L. Brunner,Clermont,,SECRETARY OF STATE,Democratic,5226
Jennifer L. Brunner,Clinton,,SECRETARY OF STATE,Democratic,967
Jennifer L. Brunner,Columbiana,,SECRETARY OF STATE,Democratic,9102
Jennifer L. Brunner,Coshocton,,SECRETARY OF STATE,Democratic,2003
Jennifer L. Brunner,Crawford,,SECRETARY OF STATE,Democratic,2891
Jennifer L. Brunner,Cuyahoga,,SECRETARY OF STATE,Democratic,96907
Jennifer L. Brunner,Darke,,SECRETARY OF STATE,Democratic,1892
Jennifer L. Brunner,Defiance,,SECRETARY OF STATE,Democratic,1807
Jennifer L. Brunner,Delaware,,SECRETARY OF STATE,Democratic,5267
Jennifer L. Brunner,Erie,,SECRETARY OF STATE,Democratic,5629
Jennifer L. Brunner,Fairfield,,SECRETARY OF STATE,Democratic,6828
Jennifer L. Brunner,Fayette,,SECRETARY OF STATE,Democratic,755
Jennifer L. Brunner,Franklin,,SECRETARY OF STATE,Democratic,44731
Jennifer L. Brunner,Fulton,,SECRETARY OF STATE,Democratic,1343
Jennifer L. Brunner,Gallia,,SECRETARY OF STATE,Democratic,1165
Jennifer L. Brunner,Geauga,,SECRETARY OF STATE,Democratic,4548
Jennifer L. Brunner,Greene,,SECRETARY OF STATE,Democratic,4561
Jennifer L. Brunner,Guernsey,,SECRETARY OF STATE,Democratic,2730
Jennifer L. Brunner,Hamilton,,SECRETARY OF STATE,Democratic,22783
Jennifer L. Brunner,Hancock,,SECRETARY OF STATE,Democratic,1639
Jennifer L. Brunner,Hardin,,SECRETARY OF STATE,Democratic,1171
Jennifer L. Brunner,Harrison,,SECRETARY OF STATE,Democratic,1698
Jennifer L. Brunner,Henry,,SECRETARY OF STATE,Democratic,1236
Jennifer L. Brunner,Highland,,SECRETARY OF STATE,Democratic,1019
Jennifer L. Brunner,Hocking,,SECRETARY OF STATE,Democratic,1556
Jennifer L. Brunner,Holmes,,SECRETARY OF STATE,Democratic,970
Jennifer L. Brunner,Huron,,SECRETARY OF STATE,Democratic,2179
Jennifer L. Brunner,Jackson,,SECRETARY OF STATE,Democratic,1080
Jennifer L. Brunner,Jefferson,,SECRETARY OF STATE,Democratic,9215
Jennifer L. Brunner,Knox,,SECRETARY OF STATE,Democratic,2249
Jennifer L. Brunner,Lake,,SECRETARY OF STATE,Democratic,10792
Jennifer L. Brunner,Lawrence,,SECRETARY OF STATE,Democratic,3323
Jennifer L. Brunner,Licking,,SECRETARY OF STATE,Democratic,6812
Jennifer L. Brunner,Logan,,SECRETARY OF STATE,Democratic,1286
Jennifer L. Brunner,Lorain,,SECRETARY OF STATE,Democratic,23335
Jennifer L. Brunner,Lucas,,SECRETARY OF STATE,Democratic,20490
Jennifer L. Brunner,Madison,,SECRETARY OF STATE,Democratic,1194
Jennifer L. Brunner,Mahoning,,SECRETARY OF STATE,Democratic,25608
Jennifer L. Brunner,Marion,,SECRETARY OF STATE,Democratic,3457
Jennifer L. Brunner,Medina,,SECRETARY OF STATE,Democratic,8964
Jennifer L. Brunner,Meigs,,SECRETARY OF STATE,Democratic,1131
Jennifer L. Brunner,Mercer,,SECRETARY OF STATE,Democratic,1644
Jennifer L. Brunner,Miami,,SECRETARY OF STATE,Democratic,3037
Jennifer L. Brunner,Monroe,,SECRETARY OF STATE,Democratic,2374
Jennifer L. Brunner,Montgomery,,SECRETARY OF STATE,Democratic,17898
Jennifer L. Brunner,Morgan,,SECRETARY OF STATE,Democratic,778
Jennifer L. Brunner,Morrow,,SECRETARY OF STATE,Democratic,1736
Jennifer L. Brunner,Muskingum,,SECRETARY OF STATE,Democratic,4064
Jennifer L. Brunner,Noble,,SECRETARY OF STATE,Democratic,980
Jennifer L. Brunner,Ottawa,,SECRETARY OF STATE,Democratic,3074
Jennifer L. Brunner,Paulding,,SECRETARY OF STATE,Democratic,1223
Jennifer L. Brunner,Perry,,SECRETARY OF STATE,Democratic,1930
Jennifer L. Brunner,Pickaway,,SECRETARY OF STATE,Democratic,2241
Jennifer L. Brunner,Pike,,SECRETARY OF STATE,Democratic,1717
Jennifer L. Brunner,Portage,,SECRETARY OF STATE,Democratic,11043
Jennifer L. Brunner,Preble,,SECRETARY OF STATE,Democratic,1625
Jennifer L. Brunner,Putnam,,SECRETARY OF STATE,Democratic,1906
Jennifer L. Brunner,Richland,,SECRETARY OF STATE,Democratic,8078
Jennifer L. Brunner,Ross,,SECRETARY OF STATE,Democratic,3650
Jennifer L. Brunner,Sandusky,,SECRETARY OF STATE,Democratic,3267
Jennifer L. Brunner,Scioto,,SECRETARY OF STATE,Democratic,5334
Jennifer L. Brunner,Seneca,,SECRETARY OF STATE,Democratic,2580
Jennifer L. Brunner,Shelby,,SECRETARY OF STATE,Democratic,1789
Jennifer L. Brunner,Stark,,SECRETARY OF STATE,Democratic,25568
Jennifer L. Brunner,Summit,,SECRETARY OF STATE,Democratic,37906
Jennifer L. Brunner,Trumbull,,SECRETARY OF STATE,Democratic,22464
Jennifer L. Brunner,Tuscarawas,,SECRETARY OF STATE,Democratic,7751
Jennifer L. Brunner,Union,,SECRETARY OF STATE,Democratic,1201
Jennifer L. Brunner,Van Wert,,SECRETARY OF STATE,Democratic,998
Jennifer L. Brunner,Vinton,,SECRETARY OF STATE,Democratic,966
Jennifer L. Brunner,Warren,,SECRETARY OF STATE,Democratic,3805
Jennifer L. Brunner,Washington,,SECRETARY OF STATE,Democratic,3328
Jennifer L. Brunner,Wayne,,SECRETARY OF STATE,Democratic,3921
Jennifer L. Brunner,Williams,,SECRETARY OF STATE,Democratic,1726
Jennifer L. Brunner,Wood,,SECRETARY OF STATE,Democratic,5224
Jennifer L. Brunner,Wyandot,,SECRETARY OF STATE,Democratic,958
Barbara Sykes,Athens,,STATE AUDITOR,Democratic,4181
Barbara Sykes,Auglaize,,STATE AUDITOR,Democratic,1661
Barbara Sykes,Belmont,,STATE AUDITOR,Democratic,9915
Barbara Sykes,Brown,,STATE AUDITOR,Democratic,2137
Barbara Sykes,Butler,,STATE AUDITOR,Democratic,6594
Barbara Sykes,Carroll,,STATE AUDITOR,Democratic,2391
Barbara Sykes,Champaign,,STATE AUDITOR,Democratic,1373
Barbara Sykes,Clark,,STATE AUDITOR,Democratic,7937
Barbara Sykes,Clermont,,STATE AUDITOR,Democratic,5227
Barbara Sykes,Clinton,,STATE AUDITOR,Democratic,985
Barbara Sykes,Columbiana,,STATE AUDITOR,Democratic,9160
Barbara Sykes,Coshocton,,STATE AUDITOR,Democratic,2000
Barbara Sykes,Crawford,,STATE AUDITOR,Democratic,2909
Barbara Sykes,Cuyahoga,,STATE AUDITOR,Democratic,100373
Barbara Sykes,Darke,,STATE AUDITOR,Democratic,1889
Barbara Sykes,Defiance,,STATE AUDITOR,Democratic,1819
Barbara Sykes,Delaware,,STATE AUDITOR,Democratic,5244
Barbara Sykes,Erie,,STATE AUDITOR,Democratic,5675
Barbara Sykes,Fairfield,,STATE AUDITOR,Democratic,6826
Barbara Sykes,Fayette,,STATE AUDITOR,Democratic,752
Barbara Sykes,Franklin,,STATE AUDITOR,Democratic,45361
Barbara Sykes,Fulton,,STATE AUDITOR,Democratic,1353
Barbara Sykes,Gallia,,STATE AUDITOR,Democratic,1134
Barbara Sykes,Geauga,,STATE AUDITOR,Democratic,4624
Barbara Sykes,Greene,,STATE AUDITOR,Democratic,4638
Barbara Sykes,Guernsey,,STATE AUDITOR,Democratic,2663
Barbara Sykes,Hamilton,,STATE AUDITOR,Democratic,23454
Barbara Sykes,Hancock,,STATE AUDITOR,Democratic,1628
Barbara Sykes,Hardin,,STATE AUDITOR,Democratic,1148
Barbara Sykes,Harrison,,STATE AUDITOR,Democratic,1736
Barbara Sykes,Henry,,STATE AUDITOR,Democratic,1236
Barbara Sykes,Highland,,STATE AUDITOR,Democratic,1040
Barbara Sykes,Hocking,,STATE AUDITOR,Democratic,1552
Barbara Sykes,Holmes,,STATE AUDITOR,Democratic,993
Barbara Sykes,Huron,,STATE AUDITOR,Democratic,2215
Barbara Sykes,Jackson,,STATE AUDITOR,Democratic,1062
Barbara Sykes,Jefferson,,STATE AUDITOR,Democratic,9330
Barbara Sykes,Knox,,STATE AUDITOR,Democratic,2196
Barbara Sykes,Lake,,STATE AUDITOR,Democratic,10633
Barbara Sykes,Lawrence,,STATE AUDITOR,Democratic,3395
Barbara Sykes,Licking,,STATE AUDITOR,Democratic,7053
Barbara Sykes,Logan,,STATE AUDITOR,Democratic,1267
Barbara Sykes,Lorain,,STATE AUDITOR,Democratic,23346
Barbara Sykes,Lucas,,STATE AUDITOR,Democratic,21280
Barbara Sykes,Madison,,STATE AUDITOR,Democratic,1187
Barbara Sykes,Mahoning,,STATE AUDITOR,Democratic,26808
Barbara Sykes,Marion,,STATE AUDITOR,Democratic,3517
Barbara Sykes,Medina,,STATE AUDITOR,Democratic,9132
Barbara Sykes,Meigs,,STATE AUDITOR,Democratic,1117
Barbara Sykes,Mercer,,STATE AUDITOR,Democratic,1617
Barbara Sykes,Miami,,STATE AUDITOR,Democratic,3014
Barbara Sykes,Monroe,,STATE AUDITOR,Democratic,2250
Barbara Sykes,Montgomery,,STATE AUDITOR,Democratic,18431
Barbara Sykes,Morgan,,STATE AUDITOR,Democratic,776
Barbara Sykes,Morrow,,STATE AUDITOR,Democratic,1725
Barbara Sykes,Muskingum,,STATE AUDITOR,Democratic,4016
Barbara Sykes,Noble,,STATE AUDITOR,Democratic,988
Barbara Sykes,Ottawa,,STATE AUDITOR,Democratic,3068
Barbara Sykes,Paulding,,STATE AUDITOR,Democratic,1212
Barbara Sykes,Perry,,STATE AUDITOR,Democratic,1928
Barbara Sykes,Pickaway,,STATE AUDITOR,Democratic,2270
Barbara Sykes,Pike,,STATE AUDITOR,Democratic,1743
Barbara Sykes,Portage,,STATE AUDITOR,Democratic,11261
Barbara Sykes,Preble,,STATE AUDITOR,Democratic,1623
Barbara Sykes,Putnam,,STATE AUDITOR,Democratic,1888
Barbara Sykes,Richland,,STATE AUDITOR,Democratic,8145
Barbara Sykes,Ross,,STATE AUDITOR,Democratic,3651
Barbara Sykes,Sandusky,,STATE AUDITOR,Democratic,3296
Barbara Sykes,Scioto,,STATE AUDITOR,Democratic,5476
Barbara Sykes,Seneca,,STATE AUDITOR,Democratic,2571
Barbara Sykes,Shelby,,STATE AUDITOR,Democratic,1818
Barbara Sykes,Stark,,STATE AUDITOR,Democratic,27296
Barbara Sykes,Summit,,STATE AUDITOR,Democratic,42461
Barbara Sykes,Trumbull,,STATE AUDITOR,Democratic,22967
Barbara Sykes,Tuscarawas,,STATE AUDITOR,Democratic,7799
Barbara Sykes,Union,,STATE AUDITOR,Democratic,1207
Barbara Sykes,Van Wert,,STATE AUDITOR,Democratic,979
